vendor_id,name,domain,historical_rating,reliability_score,delivery_score,avg_delay_days,defect_rate,completed_contracts,cancellation_rate,verified
VND-0018,"Flowers, Martin and Kelly",Healthcare & Medical Supplies,4.96,0.983,93.5,2.0,0.001,209,0.003,1
VND-0019,"Adams, Zuniga and Wong",Manufacturing & Heavy Machinery,4.13,0.652,54.4,13.7,0.0209,127,0.026,1
VND-0020,"Reid, Ferguson and Sanchez",IT Hardware,4.61,0.842,77.4,6.8,0.0095,43,0.007,1
VND-0021,Gray-Mayo,Software & Cloud Services,3.9,0.561,55.4,13.4,0.0263,220,0.015,0
VND-0022,"Watts, Robinson and Nguyen",Raw Materials & Metals,3.79,0.517,59.0,12.3,0.029,176,0.015,0
VND-0023,Perez Inc,Software & Cloud Services,4.07,0.629,60.1,12.0,0.0222,249,0.009,0
VND-0024,Morales-Jones,Construction & Infrastructure,4.14,0.656,58.3,12.5,0.0206,290,0.013,1
VND-0025,"Walter, Edwards and Rios",Software & Cloud Services,4.43,0.773,62.6,11.2,0.0136,219,0.012,1
VND-0026,Wilkerson-Day,Manufacturing & Heavy Machinery,4.96,0.985,96.2,1.1,0.001,61,0.007,1
VND-0027,Baker and Sons,Raw Materials & Metals,4.92,0.97,94.1,1.8,0.0018,96,0.009,1
VND-0028,"Hoffman, Baker and Richards",Raw Materials & Metals,4.5,0.799,83.3,5.0,0.0121,212,0.011,1
VND-0029,"Ross, Robinson and Bright",IT Hardware,3.86,0.544,50.0,15.0,0.0273,298,0.039,0
VND-0030,"Snyder, Campos and Callahan",Construction & Infrastructure,3.81,0.523,50.0,15.0,0.0286,73,0.033,0
VND-0031,Burton Ltd,Raw Materials & Metals,4.24,0.694,61.6,11.5,0.0183,189,0.007,1
VND-0032,Carlson-Cruz,Healthcare & Medical Supplies,4.79,0.914,75.0,7.5,0.0051,16,0.014,1
VND-0033,"Ferrell, Rice and Maddox",Construction & Infrastructure,4.1,0.64,57.5,12.8,0.0216,271,0.029,0
VND-0034,Frazier Inc,Construction & Infrastructure,3.93,0.57,62.3,11.3,0.0258,167,0.036,0
VND-0035,"Dyer, Potter and Mack",Software & Cloud Services,3.84,0.537,59.1,12.3,0.0278,93,0.02,0
VND-0036,Rodriguez-Graham,Construction & Infrastructure,4.72,0.886,72.5,8.2,0.0068,286,0.016,1
VND-0037,Smith-Bowen,Logistics & Freight,3.76,0.503,50.3,14.9,0.0298,24,0.011,0
VND-0038,"Baker, Mason and White",Software & Cloud Services,4.63,0.853,86.6,4.0,0.0088,172,0.007,1
VND-0039,Harrell LLC,Raw Materials & Metals,4.71,0.886,72.7,8.2,0.0069,55,0.003,1
VND-0040,"Romero, Gonzalez and Brooks",Software & Cloud Services,4.2,0.679,58.0,12.6,0.0192,287,0.027,1
VND-0041,Ryan PLC,Construction & Infrastructure,4.83,0.932,88.6,3.4,0.0041,296,0.004,1
VND-0042,George Group,Construction & Infrastructure,4.16,0.665,56.5,13.0,0.0201,231,0.034,1
VND-0043,Rodriguez LLC,Raw Materials & Metals,4.14,0.655,59.6,12.1,0.0207,117,0.027,1
VND-0044,Allen-Allen,Construction & Infrastructure,4.66,0.865,86.5,4.0,0.0081,206,0.01,1
VND-0045,"Arroyo, Miller and Tucker",Logistics & Freight,4.86,0.944,83.5,5.0,0.0034,141,0.004,1
VND-0046,Spence PLC,Software & Cloud Services,3.9,0.56,51.0,14.7,0.0264,298,0.014,0
VND-0047,Anderson Group,IT Hardware,4.7,0.88,76.0,7.2,0.0072,45,0.006,1
VND-0048,"Martin, Rose and Obrien",Logistics & Freight,4.71,0.885,83.3,5.0,0.0069,51,0.01,1
VND-0049,Hickman Ltd,Healthcare & Medical Supplies,4.4,0.761,69.4,9.2,0.0143,124,0.016,1
VND-0050,"Harris, Collins and Carney",Raw Materials & Metals,3.78,0.513,50.0,15.0,0.0292,257,0.016,0
VND-0051,"Brooks, Lam and Hayes",Healthcare & Medical Supplies,3.79,0.516,53.7,13.9,0.0291,112,0.01,0
VND-0052,Walker LLC,Manufacturing & Heavy Machinery,4.14,0.657,60.0,12.0,0.0206,231,0.017,1
VND-0053,Chapman and Sons,Healthcare & Medical Supplies,4.88,0.954,81.0,5.7,0.0028,65,0.002,1
VND-0054,"Robinson, Jones and Welch",Software & Cloud Services,4.26,0.705,68.2,9.5,0.0177,70,0.011,1
VND-0055,Jones Inc,Logistics & Freight,4.04,0.614,50.0,15.0,0.0231,86,0.019,0
VND-0056,Jones-Young,Manufacturing & Heavy Machinery,4.11,0.645,52.8,14.2,0.0213,53,0.019,0
VND-0057,"Washington, Ryan and Cummings",Construction & Infrastructure,4.91,0.965,98.7,0.4,0.0021,65,0.002,1
VND-0058,"Johnston, Sanchez and Kennedy",Manufacturing & Heavy Machinery,4.54,0.817,86.2,4.1,0.011,62,0.021,1
VND-0059,Lee-Davis,Software & Cloud Services,4.75,0.902,70.4,8.9,0.0059,223,0.009,1
VND-0060,Gomez-Jenkins,IT Hardware,4.87,0.946,89.7,3.1,0.0032,45,0.003,1
VND-0061,"Brown, Valdez and Lucas",Manufacturing & Heavy Machinery,4.76,0.904,96.6,1.0,0.0058,150,0.015,1
VND-0062,Powell LLC,Healthcare & Medical Supplies,4.15,0.659,52.8,14.2,0.0205,231,0.026,1
VND-0063,Wright and Sons,Raw Materials & Metals,4.03,0.614,60.5,11.8,0.0232,299,0.027,0
VND-0064,"West, Henderson and Ramirez",IT Hardware,4.77,0.909,87.9,3.6,0.0055,166,0.005,1
VND-0065,Baxter Inc,Logistics & Freight,3.76,0.503,50.0,15.0,0.0298,292,0.009,0
VND-0066,Morton-Chase,Manufacturing & Heavy Machinery,4.27,0.709,54.7,13.6,0.0175,259,0.018,1
VND-0067,Williams PLC,IT Hardware,3.9,0.56,50.0,15.0,0.0264,44,0.042,0
VND-0068,Novak and Sons,Healthcare & Medical Supplies,4.93,0.971,85.6,4.3,0.0017,50,0.007,1
VND-0069,Russell Group,Construction & Infrastructure,4.4,0.759,77.3,6.8,0.0144,221,0.006,1
VND-0070,Hancock Inc,Raw Materials & Metals,4.2,0.682,69.4,9.2,0.0191,35,0.022,1
VND-0071,Gray Group,Logistics & Freight,4.95,0.981,82.4,5.3,0.0011,282,0.004,1
VND-0072,House-Glover,Raw Materials & Metals,4.37,0.749,61.0,11.7,0.0151,175,0.009,1
VND-0073,Henderson-Bernard,Manufacturing & Heavy Machinery,4.11,0.642,50.0,15.0,0.0215,168,0.019,0
VND-0074,"Stanley, Tucker and Lee",Construction & Infrastructure,4.51,0.805,77.4,6.8,0.0117,19,0.012,1
VND-0075,Novak PLC,Construction & Infrastructure,3.81,0.526,51.0,14.7,0.0285,52,0.027,0
VND-0076,"Daniels, Adkins and Brown",Software & Cloud Services,4.89,0.954,76.1,7.2,0.0028,193,0.01,1
VND-0077,"Woods, Calhoun and Schmidt",Construction & Infrastructure,3.93,0.572,51.9,14.4,0.0257,95,0.021,0
VND-0078,Yu Inc,Manufacturing & Heavy Machinery,4.98,0.993,83.5,5.0,0.001,285,0.001,1
VND-0079,Jones Inc,Software & Cloud Services,4.59,0.836,82.5,5.2,0.0098,68,0.02,1
VND-0080,"Hensley, Powell and David",Software & Cloud Services,4.05,0.619,59.0,12.3,0.0229,69,0.03,0
VND-0081,"Sanchez, Wheeler and Harvey",Software & Cloud Services,4.21,0.684,63.1,11.1,0.019,122,0.025,1
VND-0082,Sandoval-Cunningham,Logistics & Freight,4.54,0.817,76.7,7.0,0.011,150,0.013,1
VND-0083,Donovan-Harris,Raw Materials & Metals,3.86,0.545,60.4,11.9,0.0273,41,0.009,0
VND-0084,"Edwards, Baker and Anderson",Manufacturing & Heavy Machinery,4.15,0.66,58.1,12.6,0.0204,37,0.005,1
VND-0085,"Evans, Stewart and Walton",Raw Materials & Metals,3.8,0.52,50.0,15.0,0.0288,149,0.012,0
VND-0086,Smith PLC,IT Hardware,4.6,0.839,64.6,10.6,0.0097,233,0.013,1
VND-0087,"Ferrell, Jones and Lewis",Manufacturing & Heavy Machinery,4.39,0.756,58.6,12.4,0.0146,91,0.017,1
VND-0088,Anderson-Bailey,Software & Cloud Services,4.56,0.823,65.4,10.4,0.0106,297,0.006,1
VND-0089,Suarez LLC,Manufacturing & Heavy Machinery,4.61,0.845,69.1,9.3,0.0093,201,0.019,1
VND-0090,Moore-Bass,Software & Cloud Services,4.92,0.968,81.4,5.6,0.0019,35,0.01,1
VND-0091,"Turner, Riggs and Roman",Construction & Infrastructure,4.18,0.671,56.0,13.2,0.0198,67,0.015,1
VND-0092,"Smith, Montoya and Evans",Healthcare & Medical Supplies,4.91,0.962,100.0,0.1,0.0023,223,0.011,1
VND-0093,"Garcia, Humphrey and Baker",Manufacturing & Heavy Machinery,4.07,0.629,57.6,12.7,0.0223,136,0.033,0
VND-0094,Newton and Sons,Healthcare & Medical Supplies,4.77,0.909,86.3,4.1,0.0055,226,0.002,1
VND-0095,Campbell-Clark,Manufacturing & Heavy Machinery,4.41,0.765,68.1,9.6,0.0141,225,0.022,1
VND-0096,Harris-Walters,Manufacturing & Heavy Machinery,3.87,0.547,59.8,12.1,0.0272,142,0.016,0
VND-0097,Wagner-King,Manufacturing & Heavy Machinery,4.88,0.95,91.0,2.7,0.003,210,0.011,1
VND-0098,Davis Group,Raw Materials & Metals,4.17,0.67,58.4,12.5,0.0198,117,0.029,1
VND-0099,Williams-Cook,Healthcare & Medical Supplies,4.66,0.863,86.4,4.1,0.0082,131,0.006,1
VND-0100,Walsh LLC,IT Hardware,4.86,0.944,89.3,3.2,0.0034,183,0.005,1
VND-0101,Figueroa PLC,Construction & Infrastructure,4.55,0.821,69.1,9.3,0.0107,157,0.01,1
VND-0102,"Patterson, Smith and Jones",IT Hardware,3.95,0.581,59.8,12.1,0.0252,289,0.017,0
VND-0103,"Mckee, Gardner and Davenport",Logistics & Freight,4.51,0.803,57.6,12.7,0.0118,148,0.007,1
VND-0104,"Tran, Jordan and Williams",Manufacturing & Heavy Machinery,3.88,0.551,50.0,15.0,0.027,237,0.019,0
VND-0105,Nolan-Flynn,Construction & Infrastructure,3.76,0.503,50.0,15.0,0.0298,276,0.011,0
VND-0106,Nolan and Sons,IT Hardware,4.44,0.774,71.6,8.5,0.0135,37,0.019,1
VND-0107,"Wright, Garcia and Deleon",Healthcare & Medical Supplies,4.56,0.826,68.4,9.5,0.0104,290,0.016,1
VND-0108,Dickson-Brady,IT Hardware,4.64,0.856,73.2,8.0,0.0086,115,0.009,1
VND-0109,Hancock and Sons,Healthcare & Medical Supplies,4.16,0.663,70.2,8.9,0.0202,184,0.023,1
VND-0110,Johnson-Doyle,Healthcare & Medical Supplies,4.56,0.825,86.5,4.0,0.0105,168,0.013,1
VND-0111,Patton-Jenkins,Construction & Infrastructure,4.57,0.829,75.8,7.3,0.0103,221,0.016,1
VND-0112,"Shields, Cochran and Adams",Raw Materials & Metals,3.87,0.547,50.0,15.0,0.0272,230,0.031,0
VND-0113,"Rodriguez, Brennan and Garrison",Logistics & Freight,4.08,0.633,55.5,13.4,0.022,104,0.025,0
VND-0114,Gonzalez Group,Software & Cloud Services,4.97,0.987,84.4,4.7,0.001,15,0.004,1
VND-0115,Torres-Pope,Raw Materials & Metals,4.87,0.946,87.8,3.7,0.0032,179,0.007,1
VND-0116,Walker Ltd,Manufacturing & Heavy Machinery,4.74,0.897,82.7,5.2,0.0062,276,0.009,1
VND-0117,Ross LLC,Healthcare & Medical Supplies,4.47,0.788,73.8,7.9,0.0127,58,0.009,1
VND-0118,Rasmussen LLC,Manufacturing & Heavy Machinery,3.99,0.598,60.7,11.8,0.0241,186,0.008,0
VND-0119,May-Ross,Software & Cloud Services,4.1,0.64,50.0,15.0,0.0216,173,0.012,0
VND-0120,"Rivera, Johnson and Wiley",Raw Materials & Metals,4.56,0.823,63.3,11.0,0.0106,38,0.008,1
VND-0121,White-Estes,Healthcare & Medical Supplies,4.93,0.97,100.0,0.1,0.0018,52,0.005,1
VND-0122,Johnson-Carlson,Software & Cloud Services,4.89,0.957,83.1,5.1,0.0026,211,0.006,1
VND-0123,Chandler-Edwards,Manufacturing & Heavy Machinery,3.77,0.508,50.7,14.8,0.0295,17,0.043,0
VND-0124,"Joyce, Wilson and Lam",Software & Cloud Services,4.29,0.714,77.7,6.7,0.0172,69,0.025,1
VND-0125,Scott Ltd,Construction & Infrastructure,4.95,0.982,94.8,1.6,0.0011,280,0.005,1
VND-0126,Smith-Frost,Manufacturing & Heavy Machinery,4.12,0.647,55.0,13.5,0.0212,77,0.019,0
VND-0127,"Mcdaniel, Bentley and Mclaughlin",Construction & Infrastructure,4.81,0.926,77.9,6.6,0.0045,286,0.014,1
VND-0128,Diaz Inc,Healthcare & Medical Supplies,3.96,0.585,53.5,14.0,0.0249,241,0.027,0
VND-0129,"Mccall, Hanson and Alvarado",Construction & Infrastructure,4.92,0.968,96.2,1.1,0.0019,233,0.009,1
VND-0130,Cortez LLC,Raw Materials & Metals,4.46,0.785,61.6,11.5,0.0129,96,0.02,1
VND-0131,"Parker, Ortiz and Powell",Logistics & Freight,4.52,0.808,84.2,4.7,0.0115,141,0.02,1
VND-0132,Spencer-Lee,Software & Cloud Services,3.93,0.57,56.1,13.2,0.0258,281,0.023,0
VND-0133,"Bentley, Byrd and Orr",Software & Cloud Services,4.85,0.939,88.6,3.4,0.0037,54,0.01,1
VND-0134,"Carroll, Sullivan and Bass",IT Hardware,4.62,0.849,79.4,6.2,0.0091,178,0.018,1
VND-0135,Mitchell-Jordan,Software & Cloud Services,4.2,0.68,54.8,13.6,0.0192,133,0.015,1
VND-0136,"Lawson, Morris and Ramos",Logistics & Freight,4.76,0.905,91.6,2.5,0.0057,47,0.008,1
VND-0137,"Lewis, Kennedy and Santana",Manufacturing & Heavy Machinery,4.83,0.934,95.5,1.3,0.004,227,0.002,1
VND-0138,"Jackson, Miller and Robertson",Manufacturing & Heavy Machinery,4.39,0.756,68.1,9.6,0.0147,25,0.024,1
VND-0139,"Harvey, Davis and Crane",Logistics & Freight,4.75,0.899,85.6,4.3,0.0061,259,0.002,1
VND-0140,Chambers and Sons,Manufacturing & Heavy Machinery,4.63,0.851,82.2,5.3,0.0089,214,0.017,1
VND-0141,Hernandez Inc,Software & Cloud Services,4.86,0.945,79.6,6.1,0.0033,294,0.01,1
VND-0142,Riggs PLC,IT Hardware,4.22,0.688,54.9,13.5,0.0187,154,0.017,1
VND-0143,Gibson Ltd,Manufacturing & Heavy Machinery,4.47,0.789,60.0,12.0,0.0127,222,0.019,1
VND-0144,"Lee, Horton and Snyder",Construction & Infrastructure,4.33,0.733,67.5,9.8,0.016,80,0.029,1
VND-0145,Hernandez Ltd,Healthcare & Medical Supplies,4.11,0.643,56.3,13.1,0.0214,216,0.023,0
VND-0146,Stafford Inc,Raw Materials & Metals,3.79,0.515,50.0,15.0,0.0291,234,0.011,0
VND-0147,Robinson-Brock,Software & Cloud Services,4.78,0.911,75.1,7.5,0.0053,148,0.007,1
VND-0148,"Holmes, Williams and Wright",Raw Materials & Metals,3.91,0.564,52.5,14.2,0.0262,187,0.034,0
VND-0149,Bryant Group,IT Hardware,4.71,0.885,70.3,8.9,0.0069,230,0.006,1
VND-0150,"Schmidt, Hansen and Stewart",Logistics & Freight,4.53,0.811,63.5,11.0,0.0113,291,0.004,1
VND-0151,Salazar-Ball,Healthcare & Medical Supplies,3.81,0.526,50.0,15.0,0.0284,50,0.037,0
VND-0152,"Simmons, Meadows and Griffin",Software & Cloud Services,4.43,0.77,68.6,9.4,0.0138,30,0.025,1
VND-0153,Manning Group,Raw Materials & Metals,4.66,0.863,93.2,2.0,0.0082,93,0.006,1
VND-0154,Green-Wright,Logistics & Freight,4.4,0.758,66.9,9.9,0.0145,126,0.015,1
VND-0155,"Ramirez, Strickland and Washington",Healthcare & Medical Supplies,4.74,0.898,77.6,6.7,0.0061,100,0.011,1
VND-0156,Hill Inc,IT Hardware,4.3,0.719,59.2,12.2,0.0168,98,0.03,1
VND-0157,"Mitchell, Nelson and Flores",Raw Materials & Metals,3.78,0.513,56.0,13.2,0.0292,174,0.03,0
VND-0158,"Miller, Hernandez and Reyes",Healthcare & Medical Supplies,4.79,0.918,86.8,4.0,0.0049,116,0.003,1
VND-0159,Mccarthy Inc,Manufacturing & Heavy Machinery,4.26,0.704,61.2,11.6,0.0177,139,0.007,1
VND-0160,Russell-Daniels,Construction & Infrastructure,3.95,0.578,50.0,15.0,0.0253,76,0.034,0
VND-0161,Brown-Wall,Healthcare & Medical Supplies,4.44,0.775,78.1,6.6,0.0135,192,0.015,1
VND-0162,Stein-Silva,IT Hardware,4.58,0.83,68.6,9.4,0.0102,274,0.015,1
VND-0163,"Smith, Gilmore and Johnston",Logistics & Freight,4.94,0.977,97.8,0.7,0.0014,265,0.002,1
VND-0164,Smith-Bell,Raw Materials & Metals,4.44,0.777,74.5,7.6,0.0134,250,0.019,1
VND-0165,Castaneda-Ashley,Logistics & Freight,4.27,0.71,56.5,13.0,0.0174,282,0.03,1
VND-0166,Medina-Navarro,Raw Materials & Metals,4.19,0.678,68.5,9.4,0.0193,290,0.027,1
VND-0167,"Hurst, Freeman and Nelson",Software & Cloud Services,3.77,0.507,50.0,15.0,0.0296,152,0.019,0
VND-0168,Johnson-Rogers,Raw Materials & Metals,3.81,0.523,50.0,15.0,0.0286,59,0.017,0
VND-0169,"Yates, Ramsey and Pittman",Healthcare & Medical Supplies,4.82,0.928,86.3,4.1,0.0043,252,0.009,1
VND-0170,Hooper PLC,Logistics & Freight,4.34,0.737,57.5,12.8,0.0158,29,0.016,1
VND-0171,Meadows PLC,Logistics & Freight,4.36,0.746,64.3,10.7,0.0153,123,0.012,1
VND-0172,"Alvarado, Miller and Patterson",Construction & Infrastructure,3.97,0.587,51.8,14.5,0.0248,156,0.025,0
VND-0173,White-Green,Raw Materials & Metals,4.25,0.699,70.9,8.7,0.018,58,0.011,1
VND-0174,Lewis-Murphy,Healthcare & Medical Supplies,4.54,0.818,63.2,11.0,0.0109,138,0.016,1
VND-0175,Ramirez-Bean,IT Hardware,4.22,0.687,67.7,9.7,0.0188,244,0.027,1
VND-0176,King-Miller,Logistics & Freight,4.38,0.752,74.2,7.7,0.0149,222,0.02,1
VND-0177,Curry Inc,Construction & Infrastructure,4.57,0.829,68.6,9.4,0.0102,203,0.012,1
VND-0178,Walker-Jones,Healthcare & Medical Supplies,3.84,0.535,50.9,14.7,0.0279,296,0.019,0
VND-0179,"Williams, Johnson and Wright",IT Hardware,3.78,0.513,50.0,15.0,0.0292,171,0.016,0
VND-0180,Howell and Sons,Construction & Infrastructure,4.93,0.97,91.3,2.6,0.0018,176,0.002,1
VND-0181,Wells Inc,Healthcare & Medical Supplies,4.24,0.694,71.0,8.7,0.0184,109,0.01,1
VND-0182,"Gould, Marshall and Scott",IT Hardware,4.32,0.729,67.4,9.8,0.0163,283,0.019,1
VND-0183,Jackson-Lawson,Software & Cloud Services,4.93,0.971,87.1,3.9,0.0018,166,0.003,1
VND-0184,"Higgins, Strickland and Martin",IT Hardware,4.95,0.981,97.4,0.8,0.0012,288,0.002,1
VND-0185,Rodriguez-Johnson,Software & Cloud Services,3.99,0.598,52.8,14.2,0.0241,298,0.015,0
VND-0186,Johnston-Odonnell,IT Hardware,3.88,0.55,50.0,15.0,0.027,266,0.009,0
VND-0187,Sanders-Espinoza,Logistics & Freight,3.87,0.547,54.9,13.5,0.0272,255,0.024,0
VND-0188,Vargas Ltd,Manufacturing & Heavy Machinery,3.84,0.536,50.0,15.0,0.0279,41,0.016,0
VND-0189,Garcia LLC,IT Hardware,4.81,0.922,70.0,9.0,0.0047,48,0.007,1
VND-0190,"Burke, Martinez and Riggs",Manufacturing & Heavy Machinery,4.77,0.907,76.7,7.0,0.0056,42,0.004,1
VND-0191,Reed Group,Software & Cloud Services,3.9,0.559,56.1,13.2,0.0265,170,0.009,0
VND-0192,"Wood, Hunter and Peterson",Manufacturing & Heavy Machinery,4.54,0.814,78.9,6.3,0.0111,228,0.015,1
VND-0193,Short-Garcia,Raw Materials & Metals,4.67,0.868,87.1,3.9,0.0079,282,0.009,1
VND-0194,Reid-Poole,Construction & Infrastructure,4.1,0.641,51.1,14.7,0.0215,234,0.014,0
VND-0195,"Hernandez, Thompson and Boyd",Software & Cloud Services,4.69,0.875,82.4,5.3,0.0075,65,0.017,1
VND-0196,"Nelson, Morton and Medina",Software & Cloud Services,4.99,0.995,87.8,3.7,0.001,150,0.006,1
VND-0197,Marshall-Petersen,IT Hardware,4.22,0.686,65.9,10.2,0.0188,297,0.006,1
VND-0198,"Adams, Christian and Rivas",Software & Cloud Services,4.18,0.67,69.1,9.3,0.0198,255,0.013,1
VND-0199,Ramirez Group,Raw Materials & Metals,4.82,0.929,79.5,6.1,0.0042,159,0.01,1
VND-0200,Christensen PLC,Manufacturing & Heavy Machinery,4.69,0.875,81.1,5.7,0.0075,134,0.017,1
VND-0201,"Barnett, Rogers and Snyder",Construction & Infrastructure,3.88,0.552,61.0,11.7,0.0269,116,0.022,0
VND-0202,White-Lewis,Manufacturing & Heavy Machinery,4.38,0.753,73.0,8.1,0.0148,91,0.026,1
VND-0203,Peterson-Beard,Logistics & Freight,4.15,0.66,64.8,10.6,0.0204,45,0.01,1
VND-0204,"Beard, Peters and Black",Raw Materials & Metals,4.24,0.695,54.8,13.6,0.0183,162,0.017,1
VND-0205,Miller Ltd,Construction & Infrastructure,4.88,0.953,76.1,7.2,0.0028,221,0.011,1
VND-0206,Freeman-Chang,IT Hardware,4.15,0.66,69.8,9.1,0.0204,239,0.007,1
VND-0207,"Alvarez, Joseph and West",IT Hardware,4.94,0.975,93.4,2.0,0.0015,180,0.007,1
VND-0208,Davis and Sons,Healthcare & Medical Supplies,4.54,0.816,68.6,9.4,0.011,25,0.023,1
VND-0209,Holt-Torres,Software & Cloud Services,4.12,0.647,59.6,12.1,0.0212,35,0.029,0
VND-0210,"Wood, Tran and Cooper",Software & Cloud Services,4.59,0.836,81.5,5.6,0.0098,241,0.02,1
VND-0211,"Pierce, Bell and Chavez",Raw Materials & Metals,4.74,0.896,93.2,2.0,0.0063,238,0.011,1
VND-0212,King-Martinez,Logistics & Freight,3.86,0.546,55.7,13.3,0.0273,255,0.019,0
VND-0213,Stewart Ltd,Logistics & Freight,3.82,0.529,50.0,15.0,0.0283,68,0.04,0
VND-0214,"Tapia, Vaughn and Lee",Raw Materials & Metals,4.3,0.721,73.1,8.1,0.0168,268,0.011,1
VND-0215,"Washington, Hardy and Bray",IT Hardware,4.19,0.675,57.7,12.7,0.0195,296,0.005,1
VND-0216,"Carlson, Hooper and Wall",Manufacturing & Heavy Machinery,3.93,0.571,55.8,13.3,0.0257,180,0.01,0
VND-0217,Perez-White,IT Hardware,4.52,0.809,63.1,11.1,0.0115,278,0.02,1
VND-0218,Erickson and Sons,IT Hardware,3.86,0.542,55.5,13.4,0.0275,292,0.024,0
VND-0219,Williams-Brown,Raw Materials & Metals,3.84,0.536,52.2,14.3,0.0278,200,0.03,0
VND-0220,Terry-Martinez,Construction & Infrastructure,4.63,0.853,68.0,9.6,0.0088,41,0.006,1
VND-0221,Garcia-Smith,Healthcare & Medical Supplies,3.86,0.542,54.8,13.6,0.0275,162,0.023,0
VND-0222,Harrison-Alexander,Construction & Infrastructure,4.22,0.687,60.3,11.9,0.0188,29,0.032,1
VND-0223,Sheppard LLC,IT Hardware,4.77,0.906,96.3,1.1,0.0056,96,0.006,1
VND-0224,Wilson-Jones,Manufacturing & Heavy Machinery,4.98,0.993,96.7,1.0,0.001,62,0.003,1
VND-0225,Jones-Soto,Healthcare & Medical Supplies,4.22,0.688,59.0,12.3,0.0187,251,0.031,1
VND-0226,Hernandez PLC,Logistics & Freight,4.72,0.889,84.9,4.5,0.0067,270,0.016,1
VND-0227,Miller-Wright,Raw Materials & Metals,4.28,0.712,73.7,7.9,0.0173,154,0.015,1
VND-0228,"Duran, Obrien and Gibbs",Software & Cloud Services,3.89,0.556,56.6,13.0,0.0267,139,0.023,0
VND-0229,Rowe Group,Software & Cloud Services,3.76,0.506,50.0,15.0,0.0297,275,0.037,0
VND-0230,Kerr-Evans,Manufacturing & Heavy Machinery,3.82,0.528,50.0,15.0,0.0283,156,0.037,0
VND-0231,"Branch, Torres and Oliver",IT Hardware,3.9,0.559,53.8,13.9,0.0265,274,0.016,0
VND-0232,"Choi, Garcia and Farmer",Construction & Infrastructure,4.68,0.873,78.7,6.4,0.0076,167,0.016,1
VND-0233,"Clark, Guerrero and Moore",Raw Materials & Metals,4.95,0.981,89.3,3.2,0.0011,265,0.008,1
VND-0234,Arnold and Sons,Manufacturing & Heavy Machinery,4.11,0.643,66.6,10.0,0.0214,191,0.015,0
VND-0235,Ortiz Ltd,Manufacturing & Heavy Machinery,4.03,0.612,65.3,10.4,0.0233,248,0.037,0
VND-0236,"Harrison, Johnson and Roberts",Software & Cloud Services,3.77,0.506,51.5,14.6,0.0296,137,0.03,0
VND-0237,Warner-Gibson,Healthcare & Medical Supplies,3.8,0.522,58.5,12.4,0.0287,225,0.008,0
VND-0238,"Hall, Baker and Moody",Healthcare & Medical Supplies,4.41,0.764,80.2,5.9,0.0142,210,0.012,1
VND-0239,"Guerrero, Peck and Coleman",IT Hardware,3.84,0.537,54.1,13.8,0.0278,92,0.025,0
VND-0240,"Walker, Hernandez and Baker",Manufacturing & Heavy Machinery,4.96,0.985,85.1,4.5,0.001,184,0.008,1
VND-0241,Jones and Sons,Raw Materials & Metals,4.54,0.815,81.9,5.4,0.0111,66,0.013,1
VND-0242,Larson-Holloway,Healthcare & Medical Supplies,4.32,0.727,64.3,10.7,0.0164,88,0.014,1
VND-0243,Gonzales-Harrison,Logistics & Freight,4.48,0.792,85.9,4.2,0.0125,53,0.013,1
