bid_id,auction_id,vendor_id,price,price_ratio,reliability_score,delivery_score,historical_rating,defect_rate,avg_delay_days,completed_contracts,utility_score,is_fraud,timestamp,is_winner
BID-000017,AUC-0004,VND-0380,174778.79,0.9502,0.947,89.7,4.87,0.0032,3.1,124,0.5998,0,2026-04-27 00:00:00,1
BID-000018,AUC-0005,VND-0634,42153.07,0.9576,0.696,61.8,4.24,0.0182,11.5,218,0.519,0,2026-05-31 00:00:00,0
BID-000019,AUC-0005,VND-0678,40867.14,0.9284,0.743,75.4,4.36,0.0154,7.4,120,0.5655,0,2026-05-31 00:00:00,0
BID-000020,AUC-0005,VND-0678,38950.72,0.8849,0.743,75.4,4.36,0.0154,7.4,120,0.5803,0,2026-05-31 00:00:00,1
BID-000021,AUC-0005,VND-0383,38291.73,0.8699,0.517,53.1,3.79,0.029,14.1,284,0.4793,0,2026-05-31 00:00:00,0
BID-000022,AUC-0005,VND-0634,36612.97,0.8318,0.696,61.8,4.24,0.0182,11.5,218,0.5618,0,2026-05-31 00:00:00,0
BID-000023,AUC-0005,VND-0634,35835.19,0.8141,0.696,61.8,4.24,0.0182,11.5,218,0.5678,0,2026-05-31 00:00:00,0
BID-000024,AUC-0006,VND-0337,256537.78,0.9705,0.54,50.0,3.85,0.0276,15.0,217,0.4849,0,2026-05-01 00:00:00,0
BID-000025,AUC-0006,VND-0708,249624.22,0.9443,0.766,84.3,4.41,0.0141,4.7,292,0.6214,0,2026-05-01 00:00:00,0
BID-000026,AUC-0006,VND-0337,244415.32,0.9246,0.54,50.0,3.85,0.0276,15.0,217,0.4982,0,2026-05-01 00:00:00,0
BID-000027,AUC-0006,VND-0740,235881.21,0.8923,0.899,81.3,4.75,0.0061,5.6,134,0.6785,0,2026-05-01 00:00:00,1
BID-000028,AUC-0007,VND-0243,41164.37,0.9544,0.792,85.9,4.48,0.0125,4.2,53,0.4813,0,2026-02-24 00:00:00,1
BID-000029,AUC-0007,VND-0389,39786.41,0.9225,0.615,59.6,4.04,0.0231,12.1,240,0.3897,0,2026-02-24 00:00:00,0
BID-000030,AUC-0007,VND-0389,38427.49,0.891,0.615,59.6,4.04,0.0231,12.1,240,0.4041,0,2026-02-24 00:00:00,0
BID-000031,AUC-0007,VND-0398,37430.98,0.8679,0.509,58.5,3.77,0.0295,12.4,206,0.3905,0,2026-02-24 00:00:00,0
BID-000032,AUC-0007,VND-0441,36787.31,0.8529,0.616,60.3,4.04,0.0231,11.9,75,0.4237,0,2026-02-24 00:00:00,0
BID-000033,AUC-0007,VND-0398,35787.6,0.8298,0.509,58.5,3.77,0.0295,12.4,206,0.408,0,2026-02-24 00:00:00,0
BID-000034,AUC-0008,VND-0043,395819.69,0.9842,0.655,59.6,4.14,0.0207,12.1,117,0.428,0,2026-01-25 00:00:00,0
BID-000035,AUC-0008,VND-0043,389925.09,0.9695,0.655,59.6,4.14,0.0207,12.1,117,0.4337,0,2026-01-25 00:00:00,0
BID-000036,AUC-0008,VND-0043,375290.54,0.9332,0.655,59.6,4.14,0.0207,12.1,117,0.4479,0,2026-01-25 00:00:00,0
BID-000037,AUC-0008,VND-0043,368328.56,0.9158,0.655,59.6,4.14,0.0207,12.1,117,0.4546,0,2026-01-25 00:00:00,0
BID-000038,AUC-0008,VND-0674,352928.9,0.8776,0.673,60.2,4.18,0.0196,11.9,128,0.4765,0,2026-01-25 00:00:00,1
BID-000039,AUC-0009,VND-0508,122190.6,0.9813,0.853,88.0,4.63,0.0088,3.6,150,0.6612,0,2026-02-26 00:00:00,0
BID-000040,AUC-0009,VND-0508,119609.7,0.9606,0.853,88.0,4.63,0.0088,3.6,150,0.6683,0,2026-02-26 00:00:00,0
BID-000041,AUC-0009,VND-0508,113886.27,0.9146,0.853,88.0,4.63,0.0088,3.6,150,0.6839,0,2026-02-26 00:00:00,1
BID-000042,AUC-0009,VND-0443,110132.81,0.8845,0.9,74.6,4.75,0.006,7.6,266,0.6746,0,2026-02-26 00:00:00,0
BID-000043,AUC-0010,VND-0061,271345.81,0.9881,0.904,96.6,4.76,0.0058,1.0,150,0.5709,0,2026-04-03 00:00:00,0
BID-000044,AUC-0010,VND-0252,264060.31,0.9616,0.655,63.7,4.14,0.0207,10.9,225,0.465,0,2026-04-03 00:00:00,0
BID-000045,AUC-0010,VND-0547,256637.21,0.9346,0.804,72.0,4.51,0.0118,8.4,296,0.5318,0,2026-04-03 00:00:00,0
BID-000046,AUC-0010,VND-0660,248002.17,0.9031,0.541,50.0,3.85,0.0276,15.0,294,0.4363,0,2026-04-03 00:00:00,0
BID-000047,AUC-0010,VND-0341,239804.08,0.8733,0.909,75.7,4.77,0.0055,7.3,132,0.5932,0,2026-04-03 00:00:00,1
BID-000048,AUC-0010,VND-0252,237234.95,0.8639,0.655,63.7,4.14,0.0207,10.9,225,0.5041,0,2026-04-03 00:00:00,0
BID-000049,AUC-0011,VND-0022,425446.36,0.9642,0.517,59.0,3.79,0.029,12.3,176,0.324,0,2026-02-15 00:00:00,0
BID-000050,AUC-0011,VND-0474,413195.32,0.9364,0.568,59.8,3.92,0.0259,12.1,69,0.3503,0,2026-02-15 00:00:00,0
BID-000051,AUC-0011,VND-0554,397109.57,0.9,0.698,70.1,4.25,0.0181,9.0,61,0.415,0,2026-02-15 00:00:00,1
BID-000052,AUC-0012,VND-0407,317584.19,0.9655,0.562,60.1,3.91,0.0263,12.0,88,0.4442,0,2026-01-26 00:00:00,0
BID-000053,AUC-0012,VND-0407,310617.1,0.9443,0.562,60.1,3.91,0.0263,12.0,88,0.4526,0,2026-01-26 00:00:00,0
BID-000054,AUC-0012,VND-0407,301381.38,0.9162,0.562,60.1,3.91,0.0263,12.0,88,0.4639,0,2026-01-26 00:00:00,0
BID-000055,AUC-0012,VND-0571,286708.3,0.8716,0.912,77.3,4.78,0.0053,6.8,23,0.6699,0,2026-01-26 00:00:00,1
BID-000056,AUC-0012,VND-0339,274172.54,0.8335,0.556,50.0,3.89,0.0266,15.0,145,0.4701,0,2026-01-26 00:00:00,0
BID-000057,AUC-0013,VND-0112,265982.94,0.9809,0.547,50.0,3.87,0.0272,15.0,230,0.4599,0,2026-01-05 00:00:00,0
BID-000058,AUC-0013,VND-0014,261289.3,0.9636,0.6,59.5,4.0,0.024,12.2,66,0.5028,0,2026-01-05 00:00:00,0
BID-000059,AUC-0013,VND-0008,250146.38,0.9225,0.591,54.1,3.98,0.0245,13.8,187,0.5017,0,2026-01-05 00:00:00,0
BID-000060,AUC-0013,VND-0072,238298.34,0.8788,0.749,61.0,4.37,0.0151,11.7,175,0.5976,0,2026-01-05 00:00:00,0
BID-000061,AUC-0013,VND-0072,233440.03,0.8609,0.749,61.0,4.37,0.0151,11.7,175,0.6022,0,2026-01-05 00:00:00,0
BID-000062,AUC-0013,VND-0072,230070.99,0.8485,0.749,61.0,4.37,0.0151,11.7,175,0.6054,0,2026-01-05 00:00:00,0
BID-000063,AUC-0013,VND-0793,227079.68,0.8375,0.994,81.1,4.98,0.001,5.7,140,0.7527,0,2026-01-05 00:00:00,1
BID-000064,AUC-0013,VND-0008,218560.36,0.8061,0.591,54.1,3.98,0.0245,13.8,187,0.532,0,2026-01-05 00:00:00,0
BID-000065,AUC-0014,VND-0184,161410.53,0.9555,0.981,97.4,4.95,0.0012,0.8,288,0.6647,0,2026-04-07 00:00:00,1
BID-000066,AUC-0014,VND-0149,156025.03,0.9236,0.885,70.3,4.71,0.0069,8.9,230,0.6015,0,2026-04-07 00:00:00,0
BID-000067,AUC-0014,VND-0149,148437.0,0.8787,0.885,70.3,4.71,0.0069,8.9,230,0.6167,0,2026-04-07 00:00:00,0
BID-000068,AUC-0014,VND-0162,143171.03,0.8475,0.83,68.6,4.58,0.0102,9.4,274,0.6076,0,2026-04-07 00:00:00,0
BID-000069,AUC-0015,VND-0433,169874.94,0.981,0.7,64.5,4.25,0.018,10.6,277,0.569,0,2026-05-31 00:00:00,0
BID-000070,AUC-0015,VND-0510,162969.85,0.9411,0.958,77.4,4.89,0.0025,6.8,167,0.7456,0,2026-05-31 00:00:00,1
BID-000071,AUC-0015,VND-0454,159038.95,0.9184,0.909,78.4,4.77,0.0055,6.5,79,0.7391,0,2026-05-31 00:00:00,0
BID-000072,AUC-0015,VND-0237,153253.24,0.885,0.522,58.5,3.8,0.0287,12.4,225,0.5236,0,2026-05-31 00:00:00,0
BID-000073,AUC-0015,VND-0237,147460.48,0.8515,0.522,58.5,3.8,0.0287,12.4,225,0.542,0,2026-05-31 00:00:00,0
BID-000074,AUC-0016,VND-0036,328337.82,0.9713,0.886,72.5,4.72,0.0068,8.2,286,0.5656,0,2026-01-18 00:00:00,0
BID-000075,AUC-0016,VND-0004,322586.43,0.9543,0.529,52.5,3.82,0.0283,14.2,273,0.3851,0,2026-01-18 00:00:00,0
BID-000076,AUC-0016,VND-0446,314967.58,0.9317,0.861,91.5,4.65,0.0083,2.6,192,0.5911,0,2026-01-18 00:00:00,0
BID-000077,AUC-0016,VND-0180,302236.74,0.8941,0.97,91.3,4.93,0.0018,2.6,176,0.6542,0,2026-01-18 00:00:00,0
BID-000078,AUC-0016,VND-0180,290648.83,0.8598,0.97,91.3,4.93,0.0018,2.6,176,0.6665,0,2026-01-18 00:00:00,1
BID-000079,AUC-0016,VND-0036,277885.78,0.822,0.886,72.5,4.72,0.0068,8.2,286,0.6193,0,2026-01-18 00:00:00,0
BID-000080,AUC-0016,VND-0446,264946.03,0.7838,0.861,91.5,4.65,0.0083,2.6,192,0.6443,0,2026-01-18 00:00:00,0
BID-000081,AUC-0016,VND-0036,252581.56,0.7472,0.886,72.5,4.72,0.0068,8.2,286,0.6463,0,2026-01-18 00:00:00,0
BID-000082,AUC-0017,VND-0349,486632.15,0.9789,0.644,56.7,4.11,0.0213,13.0,173,0.3961,0,2026-03-27 00:00:00,0
BID-000083,AUC-0017,VND-0712,468407.47,0.9422,0.521,50.0,3.8,0.0288,15.0,75,0.3532,0,2026-03-27 00:00:00,0
BID-000084,AUC-0017,VND-0295,452908.01,0.911,0.564,50.0,3.91,0.0262,15.0,125,0.3838,0,2026-03-27 00:00:00,0
BID-000085,AUC-0017,VND-0349,445710.58,0.8966,0.644,56.7,4.11,0.0213,13.0,173,0.4315,0,2026-03-27 00:00:00,1
BID-000086,AUC-0018,VND-0142,327391.11,0.9793,0.688,54.9,4.22,0.0187,13.5,154,0.5297,0,2026-02-14 00:00:00,0
BID-000087,AUC-0018,VND-0020,315449.38,0.9436,0.842,77.4,4.61,0.0095,6.8,43,0.664,0,2026-02-14 00:00:00,0
BID-000088,AUC-0018,VND-0020,307853.9,0.9209,0.842,77.4,4.61,0.0095,6.8,43,0.669,0,2026-02-14 00:00:00,1
BID-000089,AUC-0018,VND-0689,293361.03,0.8775,0.723,63.2,4.31,0.0166,11.0,181,0.5885,0,2026-02-14 00:00:00,0
BID-000090,AUC-0018,VND-0689,286268.42,0.8563,0.723,63.2,4.31,0.0166,11.0,181,0.5932,0,2026-02-14 00:00:00,0
BID-000091,AUC-0018,VND-0142,281681.02,0.8426,0.688,54.9,4.22,0.0187,13.5,154,0.5597,0,2026-02-14 00:00:00,0
BID-000092,AUC-0019,VND-0346,272185.28,0.9607,0.662,64.2,4.15,0.0203,10.7,102,0.4791,0,2026-01-09 00:00:00,0
BID-000093,AUC-0019,VND-0346,267352.02,0.9437,0.662,64.2,4.15,0.0203,10.7,102,0.4862,0,2026-01-09 00:00:00,1
BID-000094,AUC-0019,VND-0034,260372.07,0.919,0.57,62.3,3.93,0.0258,11.3,167,0.4549,0,2026-01-09 00:00:00,0
BID-000095,AUC-0020,VND-0490,350221.78,0.9516,0.748,72.9,4.37,0.0151,8.1,116,0.4366,0,2026-02-18 00:00:00,0
BID-000096,AUC-0020,VND-0490,345105.91,0.9377,0.748,72.9,4.37,0.0151,8.1,116,0.4431,0,2026-02-18 00:00:00,0
BID-000097,AUC-0020,VND-0227,333714.23,0.9068,0.712,73.7,4.28,0.0173,7.9,154,0.4509,0,2026-02-18 00:00:00,1
BID-000098,AUC-0021,VND-0290,231841.05,0.9743,0.746,61.5,4.37,0.0152,11.5,198,0.4931,0,2026-06-08 00:00:00,0
BID-000099,AUC-0021,VND-0103,227483.47,0.956,0.803,57.6,4.51,0.0118,12.7,148,0.5151,0,2026-06-08 00:00:00,0
BID-000100,AUC-0021,VND-0139,220702.9,0.9275,0.899,85.6,4.75,0.0061,4.3,259,0.5999,0,2026-06-08 00:00:00,0
BID-000101,AUC-0021,VND-0511,211559.38,0.8891,0.849,68.8,4.62,0.0091,9.4,265,0.5721,0,2026-06-08 00:00:00,0
BID-000102,AUC-0021,VND-0139,204054.11,0.8575,0.899,85.6,4.75,0.0061,4.3,259,0.6258,0,2026-06-08 00:00:00,1
BID-000103,AUC-0021,VND-0261,199663.04,0.8391,0.797,70.3,4.49,0.0122,8.9,166,0.5737,0,2026-06-08 00:00:00,0
BID-000104,AUC-0021,VND-0103,196913.74,0.8275,0.803,57.6,4.51,0.0118,12.7,148,0.5627,0,2026-06-08 00:00:00,0
BID-000105,AUC-0022,VND-0517,38577.56,0.9774,0.615,50.6,4.04,0.0231,14.8,154,0.3494,0,2026-05-09 00:00:00,0
BID-000106,AUC-0022,VND-0626,37934.63,0.9611,0.898,82.3,4.75,0.0061,5.3,158,0.5156,0,2026-05-09 00:00:00,1
BID-000107,AUC-0022,VND-0302,36189.83,0.9169,0.589,50.0,3.97,0.0247,15.0,244,0.3744,0,2026-05-09 00:00:00,0
BID-000108,AUC-0022,VND-0517,34435.0,0.8724,0.615,50.6,4.04,0.0231,14.8,154,0.406,0,2026-05-09 00:00:00,0
BID-000109,AUC-0023,VND-0214,271597.03,0.9512,0.721,73.1,4.3,0.0168,8.1,268,0.3649,0,2026-03-14 00:00:00,0
BID-000110,AUC-0023,VND-0476,263576.15,0.9231,0.8,72.0,4.5,0.012,8.4,211,0.4025,0,2026-03-14 00:00:00,1
BID-000111,AUC-0023,VND-0010,255958.08,0.8964,0.716,56.6,4.29,0.017,13.0,250,0.3754,0,2026-03-14 00:00:00,0
BID-000112,AUC-0024,VND-0010,464374.9,0.969,0.716,56.6,4.29,0.017,13.0,250,0.5471,0,2026-06-12 00:00:00,0
BID-000113,AUC-0024,VND-0010,445707.17,0.93,0.716,56.6,4.29,0.017,13.0,250,0.558,0,2026-06-12 00:00:00,0
BID-000114,AUC-0024,VND-0789,439467.4,0.917,0.512,53.8,3.78,0.0293,13.9,182,0.4766,0,2026-06-12 00:00:00,0
BID-000115,AUC-0024,VND-0565,427116.33,0.8912,0.686,56.7,4.22,0.0188,13.0,106,0.5575,0,2026-06-12 00:00:00,0
BID-000116,AUC-0024,VND-0565,405934.89,0.847,0.686,56.7,4.22,0.0188,13.0,106,0.5698,0,2026-06-12 00:00:00,1
BID-000117,AUC-0025,VND-0216,92215.34,0.9616,0.571,55.8,3.93,0.0257,13.3,180,0.3531,0,2026-04-03 00:00:00,0
BID-000118,AUC-0025,VND-0351,88436.26,0.9222,0.766,55.9,4.42,0.014,13.2,276,0.4505,0,2026-04-03 00:00:00,0
BID-000119,AUC-0025,VND-0351,85838.51,0.8951,0.766,55.9,4.42,0.014,13.2,276,0.4638,0,2026-04-03 00:00:00,1
BID-000120,AUC-0025,VND-0216,82625.46,0.8616,0.571,55.8,3.93,0.0257,13.3,180,0.4021,0,2026-04-03 00:00:00,0
BID-000121,AUC-0025,VND-0019,79684.65,0.8309,0.652,54.4,4.13,0.0209,13.7,127,0.448,0,2026-04-03 00:00:00,0
BID-000122,AUC-0026,VND-0396,341218.78,0.9802,0.577,58.3,3.94,0.0254,12.5,193,0.4362,0,2026-05-26 00:00:00,0
BID-000123,AUC-0026,VND-0115,332900.95,0.9563,0.946,87.8,4.87,0.0032,3.7,179,0.6694,0,2026-05-26 00:00:00,0
BID-000124,AUC-0026,VND-0396,326990.74,0.9394,0.577,58.3,3.94,0.0254,12.5,193,0.4562,0,2026-05-26 00:00:00,0
BID-000125,AUC-0026,VND-0115,315366.43,0.906,0.946,87.8,4.87,0.0032,3.7,179,0.6941,0,2026-05-26 00:00:00,1
BID-000126,AUC-0026,VND-0674,301147.89,0.8651,0.673,60.2,4.18,0.0196,11.9,128,0.5357,0,2026-05-26 00:00:00,0
BID-000127,AUC-0026,VND-0306,287304.47,0.8253,0.52,52.4,3.8,0.0288,14.3,70,0.4746,0,2026-05-26 00:00:00,0
BID-000128,AUC-0027,VND-0232,104817.03,0.9664,0.873,78.7,4.68,0.0076,6.4,167,0.5343,0,2026-01-08 00:00:00,0
BID-000129,AUC-0027,VND-0129,102471.97,0.9448,0.968,96.2,4.92,0.0019,1.1,233,0.605,0,2026-01-08 00:00:00,1
BID-000130,AUC-0027,VND-0766,99071.88,0.9135,0.656,64.5,4.14,0.0207,10.6,57,0.4606,0,2026-01-08 00:00:00,0
BID-000131,AUC-0027,VND-0600,96720.81,0.8918,0.875,72.0,4.69,0.0075,8.4,23,0.553,0,2026-01-08 00:00:00,0
BID-000132,AUC-0027,VND-0791,95277.88,0.8785,0.616,53.1,4.04,0.023,14.1,139,0.4413,0,2026-01-08 00:00:00,0
BID-000133,AUC-0028,VND-0154,262406.44,0.9628,0.758,66.9,4.4,0.0145,9.9,126,0.3494,0,2026-01-16 00:00:00,1
BID-000134,AUC-0028,VND-0037,249635.94,0.9159,0.503,50.3,3.76,0.0298,14.9,24,0.2974,0,2026-01-16 00:00:00,0
BID-000135,AUC-0028,VND-0037,241566.3,0.8863,0.503,50.3,3.76,0.0298,14.9,24,0.3146,0,2026-01-16 00:00:00,0
BID-000136,AUC-0028,VND-0383,236216.62,0.8667,0.517,53.1,3.79,0.029,14.1,284,0.332,0,2026-01-16 00:00:00,0
BID-000137,AUC-0029,VND-0240,54903.41,0.957,0.985,85.1,4.96,0.001,4.5,184,0.5534,0,2026-02-11 00:00:00,0
BID-000138,AUC-0029,VND-0073,54237.55,0.9454,0.642,50.0,4.11,0.0215,15.0,168,0.3787,0,2026-02-11 00:00:00,0
BID-000139,AUC-0029,VND-0240,53684.13,0.9357,0.985,85.1,4.96,0.001,4.5,184,0.5629,0,2026-02-11 00:00:00,0
BID-000140,AUC-0029,VND-0240,51729.49,0.9017,0.985,85.1,4.96,0.001,4.5,184,0.5783,0,2026-02-11 00:00:00,1
BID-000141,AUC-0030,VND-0239,219575.03,0.9519,0.537,54.1,3.84,0.0278,13.8,92,0.4059,0,2026-05-18 00:00:00,0
BID-000142,AUC-0030,VND-0162,216126.44,0.9369,0.83,68.6,4.58,0.0102,9.4,274,0.5517,0,2026-05-18 00:00:00,0
BID-000143,AUC-0030,VND-0239,210230.07,0.9113,0.537,54.1,3.84,0.0278,13.8,92,0.42,0,2026-05-18 00:00:00,0
BID-000144,AUC-0030,VND-0064,205682.35,0.8916,0.909,87.9,4.77,0.0055,3.6,166,0.6313,0,2026-05-18 00:00:00,0
BID-000145,AUC-0030,VND-0064,199732.56,0.8658,0.909,87.9,4.77,0.0055,3.6,166,0.6404,0,2026-05-18 00:00:00,1
BID-000146,AUC-0031,VND-0202,363122.14,0.9543,0.753,73.0,4.38,0.0148,8.1,91,0.6184,0,2026-04-02 00:00:00,0
BID-000147,AUC-0031,VND-0539,350819.0,0.9219,0.692,62.2,4.23,0.0185,11.3,211,0.5789,0,2026-04-02 00:00:00,0
BID-000148,AUC-0031,VND-0641,339397.63,0.8919,0.809,74.0,4.52,0.0115,7.8,172,0.6608,0,2026-04-02 00:00:00,0
BID-000149,AUC-0031,VND-0338,324112.08,0.8518,0.705,69.5,4.26,0.0177,9.2,169,0.6135,0,2026-04-02 00:00:00,0
BID-000150,AUC-0031,VND-0305,319066.61,0.8385,0.752,77.3,4.38,0.0149,6.8,46,0.652,0,2026-04-02 00:00:00,0
BID-000151,AUC-0031,VND-0641,312685.02,0.8217,0.809,74.0,4.52,0.0115,7.8,172,0.6769,0,2026-04-02 00:00:00,1
BID-000152,AUC-0032,VND-0250,174570.2,0.9682,0.987,100.0,4.97,0.001,0.1,29,0.6957,0,2026-06-29 00:00:00,0
BID-000153,AUC-0032,VND-0250,167361.11,0.9282,0.987,100.0,4.97,0.001,0.1,29,0.7081,0,2026-06-29 00:00:00,0
BID-000154,AUC-0032,VND-0769,162762.74,0.9027,0.591,58.4,3.98,0.0246,12.5,215,0.5126,0,2026-06-29 00:00:00,0
BID-000155,AUC-0032,VND-0143,157706.87,0.8746,0.789,60.0,4.47,0.0127,12.0,222,0.59,0,2026-06-29 00:00:00,0
BID-000156,AUC-0032,VND-0420,154153.67,0.8549,0.79,79.1,4.48,0.0126,6.3,278,0.6295,0,2026-06-29 00:00:00,0
BID-000157,AUC-0032,VND-0420,148218.14,0.822,0.79,79.1,4.48,0.0126,6.3,278,0.6397,0,2026-06-29 00:00:00,0
BID-000158,AUC-0032,VND-0250,144636.04,0.8022,0.987,100.0,4.97,0.001,0.1,29,0.7472,0,2026-06-29 00:00:00,0
BID-000159,AUC-0032,VND-0250,140756.87,0.7806,0.987,100.0,4.97,0.001,0.1,29,0.7538,0,2026-06-29 00:00:00,1
BID-000160,AUC-0033,VND-0437,320267.64,0.9537,0.822,67.6,4.55,0.0107,9.7,93,0.3597,0,2026-05-26 00:00:00,0
BID-000161,AUC-0033,VND-0745,313956.5,0.9349,0.694,61.5,4.24,0.0183,11.5,67,0.3374,0,2026-05-26 00:00:00,0
BID-000162,AUC-0033,VND-0437,306131.31,0.9116,0.822,67.6,4.55,0.0107,9.7,93,0.3837,0,2026-05-26 00:00:00,0
BID-000163,AUC-0033,VND-0437,296417.52,0.8827,0.822,67.6,4.55,0.0107,9.7,93,0.4002,0,2026-05-26 00:00:00,1
BID-000164,AUC-0034,VND-0716,388372.1,0.9715,0.727,65.3,4.32,0.0164,10.4,158,0.4199,0,2026-05-07 00:00:00,0
BID-000165,AUC-0034,VND-0295,371451.53,0.9292,0.564,50.0,3.91,0.0262,15.0,125,0.3581,0,2026-05-07 00:00:00,0
BID-000166,AUC-0034,VND-0210,366924.39,0.9178,0.836,81.5,4.59,0.0098,5.6,241,0.5102,0,2026-05-07 00:00:00,0
BID-000167,AUC-0034,VND-0210,358360.62,0.8964,0.836,81.5,4.59,0.0098,5.6,241,0.52,0,2026-05-07 00:00:00,0
BID-000168,AUC-0034,VND-0210,342994.97,0.858,0.836,81.5,4.59,0.0098,5.6,241,0.5377,0,2026-05-07 00:00:00,1
BID-000169,AUC-0034,VND-0295,330090.23,0.8257,0.564,50.0,3.91,0.0262,15.0,125,0.4057,0,2026-05-07 00:00:00,0
BID-000170,AUC-0034,VND-0716,325185.84,0.8134,0.727,65.3,4.32,0.0164,10.4,158,0.4926,0,2026-05-07 00:00:00,0
BID-000171,AUC-0034,VND-0716,312808.32,0.7825,0.727,65.3,4.32,0.0164,10.4,158,0.5068,0,2026-05-07 00:00:00,0
BID-000172,AUC-0035,VND-0162,448005.86,0.9649,0.83,68.6,4.58,0.0102,9.4,274,0.6472,0,2026-01-07 00:00:00,1
BID-000173,AUC-0035,VND-0175,429088.96,0.9241,0.687,67.7,4.22,0.0188,9.7,244,0.6063,0,2026-01-07 00:00:00,0
BID-000174,AUC-0035,VND-0519,422829.26,0.9106,0.67,70.0,4.17,0.0198,9.0,130,0.607,0,2026-01-07 00:00:00,0
BID-000175,AUC-0035,VND-0175,416012.88,0.896,0.687,67.7,4.22,0.0188,9.7,244,0.6133,0,2026-01-07 00:00:00,0
BID-000176,AUC-0036,VND-0177,123601.62,0.989,0.829,68.6,4.57,0.0102,9.4,203,0.4084,0,2026-02-04 00:00:00,0
BID-000177,AUC-0036,VND-0177,120433.89,0.9637,0.829,68.6,4.57,0.0102,9.4,203,0.4211,0,2026-02-04 00:00:00,0
BID-000178,AUC-0036,VND-0461,117784.71,0.9425,0.934,79.4,4.84,0.0039,6.2,115,0.4746,0,2026-02-04 00:00:00,1
BID-000179,AUC-0037,VND-0613,202594.66,0.9851,0.71,68.1,4.27,0.0174,9.6,155,0.5031,0,2026-01-07 00:00:00,0
BID-000180,AUC-0037,VND-0270,195413.11,0.9502,0.725,61.4,4.31,0.0165,11.6,202,0.5072,0,2026-01-07 00:00:00,0
BID-000181,AUC-0037,VND-0270,192351.49,0.9353,0.725,61.4,4.31,0.0165,11.6,202,0.5118,0,2026-01-07 00:00:00,0
BID-000182,AUC-0037,VND-0669,185369.39,0.9013,0.6,54.9,4.0,0.024,13.5,142,0.4544,0,2026-01-07 00:00:00,0
BID-000183,AUC-0037,VND-0270,179722.93,0.8739,0.725,61.4,4.31,0.0165,11.6,202,0.5309,0,2026-01-07 00:00:00,0
BID-000184,AUC-0037,VND-0669,173995.66,0.846,0.6,54.9,4.0,0.024,13.5,142,0.4715,0,2026-01-07 00:00:00,0
BID-000185,AUC-0037,VND-0284,168911.74,0.8213,0.696,66.4,4.24,0.0182,10.1,84,0.5444,0,2026-01-07 00:00:00,0
BID-000186,AUC-0037,VND-0514,162712.44,0.7912,0.931,96.2,4.83,0.0041,1.1,89,0.7168,0,2026-01-07 00:00:00,1
BID-000187,AUC-0038,VND-0652,82424.84,0.9733,0.526,51.0,3.81,0.0284,14.7,115,0.3298,0,2026-05-16 00:00:00,0
