request_id,title,category,max_budget,quantity,vendor_id,name,bid_price,historical_rating,reliability_score,avg_delay_days,defect_rate,historical_completion_rate,ai_recommendation_score
REQ-089,Weekly Friday Happy Hour Snacks (Lot 089),Catering Services,165310.12,970,VND-0132,Spencer-Lee,150165.53,4.8,0.919,0.36,0.0359,0.818,60.4
REQ-090,Sanitization & Disinfection Contract (Lot 090),Janitorial Services,79181.9,87,VND-0294,Good-Hodges,69825.75,4.54,0.816,0.39,0.0601,0.885,58.1
REQ-091,Executive Lunch Board Meetings (Lot 091),Catering Services,156244.31,623,VND-0128,Diaz Inc,137258.17,4.94,0.975,0.23,0.0503,0.855,63.3
REQ-092,Stationery Bulk Annual Contract (Lot 092),Office Supplies,193072.95,788,VND-0006,"Gardner, Robinson and Lawrence",164658.29,4.51,0.806,0.2,0.0279,0.842,59.5
REQ-093,Server Rack Infrastructure Upgrade (Lot 093),IT Hardware,44734.46,486,VND-0017,James Group,40008.25,4.1,0.64,1.97,0.0153,0.781,50.6
REQ-094,Courier & Last-Mile Delivery SLA (Lot 094),Logistics & Shipping,107049.28,604,VND-0438,"Williams, Mccoy and Cook",91795.8,4.7,0.88,0.12,0.048,0.804,61.5
REQ-095,BI Analytics Platform Licenses (Lot 095),Software Licenses,60991.9,361,VND-0002,Doyle Ltd,54951.15,3.95,0.578,0.5,0.0066,0.803,50.6
REQ-096,Billboard Campaign Printing (Lot 096),Marketing & Print,159606.61,883,VND-0282,Hughes-Alvarado,140556.72,4.57,0.828,0.97,0.0082,0.852,58.2
REQ-097,Weekly Friday Happy Hour Snacks (Lot 097),Catering Services,117630.71,300,VND-0377,Schmitt PLC,99138.23,4.23,0.69,1.1,0.0608,0.687,54.9
REQ-098,Desktop Workstation Fleet (Lot 098),IT Hardware,128743.57,95,VND-0445,"Conner, Li and Santiago",112692.99,4.61,0.844,0.63,0.0236,0.96,59.2
REQ-099,BI Analytics Platform Licenses (Lot 099),Software Licenses,160593.26,890,VND-0234,Arnold and Sons,145627.84,4.98,0.992,0.04,0.0138,0.818,63.3
REQ-100,Sanitization & Disinfection Contract (Lot 100),Janitorial Services,82214.24,60,VND-0268,Jimenez Ltd,66413.22,4.19,0.677,0.76,0.0314,0.582,56.7
REQ-101,Fire Safety Systems Audit (Lot 101),HVAC & Maintenance,183442.56,645,VND-0392,Ware and Sons,153940.63,4.78,0.911,0.34,0.0581,0.774,62.7
REQ-102,Courier & Last-Mile Delivery SLA (Lot 102),Logistics & Shipping,108940.63,954,VND-0035,"Dyer, Potter and Mack",93789.13,4.4,0.759,2.04,0.0361,0.993,55.3
REQ-103,Cloud ERP Subscription Renewal (Lot 103),Software Licenses,35801.19,650,VND-0394,"Miller, Ramos and Coleman",29411.61,4.67,0.868,1.83,0.0196,0.774,60.5
REQ-104,Inter-State Freight Shipping (Lot 104),Logistics & Shipping,140700.33,570,VND-0182,"Gould, Marshall and Scott",118261.49,4.47,0.787,2.75,0.0136,0.949,56.2
REQ-105,BI Analytics Platform Licenses (Lot 105),Software Licenses,159685.96,974,VND-0002,Doyle Ltd,139657.56,3.95,0.578,0.5,0.0066,0.803,51.6
REQ-106,Carpet & Deep Clean SLA (Lot 106),Janitorial Services,66768.53,526,VND-0278,Gibson-Morris,57082.49,4.62,0.848,0.18,0.0752,0.806,60.3
REQ-107,Specialized Window Cleaning Lot (Lot 107),Janitorial Services,172149.96,472,VND-0123,Chandler-Edwards,154644.19,4.94,0.975,0.38,0.0374,0.905,62.4
REQ-108,Laser Printer Toners & Papers (Lot 108),Office Supplies,181697.93,889,VND-0267,Valentine-Holland,149149.3,4.28,0.711,2.71,0.0246,0.778,54.6
REQ-109,Industrial Copper Wire Coils (Lot 109),Raw Metals,58996.38,845,VND-0253,Bailey-Cook,48756.48,4.06,0.625,1.77,0.0243,0.846,53.1
REQ-110,Fire Safety Systems Audit (Lot 110),HVAC & Maintenance,196786.69,891,VND-0264,"Lloyd, Mckinney and Collins",162742.88,4.92,0.97,0.34,0.0823,0.838,64.7
REQ-111,Carpet & Deep Clean SLA (Lot 111),Janitorial Services,32438.75,345,VND-0323,Taylor and Sons,26875.08,3.79,0.517,0.28,0.0471,0.546,51.5
REQ-112,Carpet & Deep Clean SLA (Lot 112),Janitorial Services,44393.06,895,VND-0231,"Branch, Torres and Oliver",39606.56,4.84,0.934,0.31,0.0763,0.95,61.2
REQ-113,Fire Safety Systems Audit (Lot 113),HVAC & Maintenance,40923.84,244,VND-0023,Perez Inc,36541.49,4.86,0.944,0.25,0.0101,0.928,62.2
REQ-114,Weekly Friday Happy Hour Snacks (Lot 114),Catering Services,179327.99,727,VND-0009,Garcia-James,160660.39,3.83,0.533,9.73,0.1134,0.783,36.0
REQ-115,Daily Office Janitorial Contract (Lot 115),Janitorial Services,132587.05,134,VND-0259,Gutierrez-Lopez,121730.69,4.04,0.615,0.35,0.0085,0.744,51.2
REQ-116,BI Analytics Platform Licenses (Lot 116),Software Licenses,34660.34,107,VND-0459,Mckee-Lee,30841.26,4.48,0.791,2.01,0.0785,0.914,54.7
REQ-117,Annual Corporate Gala Catering (Lot 117),Catering Services,90863.07,424,VND-0004,Davis and Sons,77454.08,4.79,0.916,0.14,0.0158,0.796,63.0
REQ-118,Carpet & Deep Clean SLA (Lot 118),Janitorial Services,124983.11,351,VND-0155,"Ramirez, Strickland and Washington",106488.67,3.83,0.531,1.07,0.0948,0.762,49.5
REQ-119,Billboard Campaign Printing (Lot 119),Marketing & Print,21275.5,877,VND-0228,"Duran, Obrien and Gibbs",17797.28,4.07,0.63,1.24,0.0647,0.594,53.1
REQ-120,Polymers & Plastic Pellets (Lot 120),Chemical Materials,177071.19,646,VND-0455,"Lamb, Martin and Kim",146109.43,4.12,0.648,3.62,0.0676,0.634,50.9
REQ-121,Chiller System Maintenance Service (Lot 121),HVAC & Maintenance,161702.69,245,VND-0135,Mitchell-Jordan,139487.51,4.81,0.925,0.15,0.0388,0.782,62.7
REQ-122,Stationery Bulk Annual Contract (Lot 122),Office Supplies,103515.32,449,VND-0236,"Harrison, Johnson and Roberts",92681.09,4.09,0.637,2.05,0.071,0.79,49.9
REQ-123,Specialized Window Cleaning Lot (Lot 123),Janitorial Services,193589.69,715,VND-0033,"Ferrell, Rice and Maddox",155577.61,3.76,0.503,2.48,0.05,0.578,49.1
REQ-124,Steel Tubes & Sheets Supply (Lot 124),Raw Metals,86463.39,305,VND-0137,"Lewis, Kennedy and Santana",80457.07,4.52,0.809,0.59,0.0108,0.918,56.2
REQ-125,Adjustable Standing Desks (Lot 125),Office Furniture,196901.51,548,VND-0189,Garcia LLC,170164.74,4.53,0.814,0.53,0.0132,0.949,59.0
REQ-126,Adjustable Standing Desks (Lot 126),Office Furniture,135244.4,85,VND-0008,"Henderson, Ramirez and Lewis",119697.52,4.49,0.796,0.07,0.0585,0.793,57.8
REQ-127,Specialized Window Cleaning Lot (Lot 127),Janitorial Services,128760.9,242,VND-0207,"Alvarez, Joseph and West",104241.23,4.42,0.769,4.09,0.0341,0.837,54.9
REQ-128,Carpet & Deep Clean SLA (Lot 128),Janitorial Services,37361.2,687,VND-0302,Estrada-Nolan,32874.96,4.36,0.744,2.63,0.0686,0.861,52.9
REQ-129,Event Brochure & Poster Print (Lot 129),Marketing & Print,176975.91,80,VND-0384,"Gallegos, Adams and White",149949.13,4.65,0.858,0.32,0.0378,0.78,61.0
REQ-130,Supply Chain Warehouse Distribution (Lot 130),Logistics & Shipping,88360.49,711,VND-0165,Castaneda-Ashley,71046.37,4.1,0.642,1.13,0.0702,0.7,54.9
REQ-131,Shared Pantry Essentials (Lot 131),Office Supplies,36635.51,878,VND-0220,Terry-Martinez,30170.87,4.64,0.858,1.07,0.0025,0.805,61.3
REQ-132,Polymers & Plastic Pellets (Lot 132),Chemical Materials,7458.47,593,VND-0039,Harrell LLC,6472.82,3.93,0.572,2.01,0.1126,0.585,48.6
REQ-133,Desktop Workstation Fleet (Lot 133),IT Hardware,114152.36,286,VND-0018,"Flowers, Martin and Kelly",96113.23,3.84,0.537,14.04,0.0904,0.57,32.8
REQ-134,Fire Safety Systems Audit (Lot 134),HVAC & Maintenance,107842.93,857,VND-0051,"Brooks, Lam and Hayes",90521.56,4.55,0.821,0.11,0.0152,0.975,60.8
REQ-135,Aluminum Extrusion Profiles (Lot 135),Raw Metals,145273.96,656,VND-0400,Duran LLC,132157.43,4.09,0.637,0.21,0.0093,0.813,52.3
REQ-136,Event Brochure & Poster Print (Lot 136),Marketing & Print,178600.32,648,VND-0105,Nolan-Flynn,144208.02,4.12,0.647,0.99,0.0728,0.763,55.1
REQ-137,Supply Chain Warehouse Distribution (Lot 137),Logistics & Shipping,20484.28,39,VND-0176,King-Miller,16398.58,4.42,0.766,0.09,0.0332,0.784,60.5
REQ-138,OS Upgrade Enterprise Agreement (Lot 138),Software Licenses,147641.82,339,VND-0144,"Lee, Horton and Snyder",116669.67,4.25,0.698,2.06,0.0898,0.832,55.7
REQ-139,Conference Room Furniture Setup (Lot 139),Office Furniture,41545.33,548,VND-0295,"Brennan, Wallace and Benson",36530.61,4.72,0.89,0.09,0.0676,0.885,60.7
REQ-140,Supply Chain Warehouse Distribution (Lot 140),Logistics & Shipping,172344.53,995,VND-0072,House-Glover,139959.57,4.47,0.789,0.05,0.0451,0.886,60.7
REQ-141,BI Analytics Platform Licenses (Lot 141),Software Licenses,164717.39,991,VND-0388,Davis PLC,139896.42,3.8,0.522,3.36,0.1125,0.711,46.1
REQ-142,Annual Report High-Volume Print (Lot 142),Marketing & Print,110454.78,995,VND-0160,Russell-Daniels,93846.58,4.42,0.766,0.45,0.0266,0.844,58.1
REQ-143,Industrial Cleaning Solvents (Lot 143),Chemical Materials,143497.35,275,VND-0359,"Turner, Schneider and Johnson",129149.02,4.36,0.744,1.97,0.014,0.757,53.6
REQ-144,Industrial Copper Wire Coils (Lot 144),Raw Metals,66298.27,603,VND-0049,Hickman Ltd,56726.92,4.88,0.95,0.35,0.0285,0.837,63.5
REQ-145,Cybersecurity Suite Licenses (Lot 145),Software Licenses,96877.74,487,VND-0388,Davis PLC,78377.14,3.8,0.522,3.36,0.1125,0.711,47.7
REQ-146,Aluminum Extrusion Profiles (Lot 146),Raw Metals,165219.2,668,VND-0040,"Romero, Gonzalez and Brooks",141014.1,4.59,0.836,1.65,0.0221,0.932,58.5
REQ-147,Executive Lunch Board Meetings (Lot 147),Catering Services,94556.71,669,VND-0102,"Patterson, Smith and Jones",76724.68,4.15,0.66,5.38,0.0417,0.504,49.8
REQ-148,Enterprise Laptops Purchase (Lot 148),IT Hardware,74770.66,316,VND-0109,Hancock and Sons,62428.78,4.52,0.809,0.14,0.008,0.925,60.6
REQ-149,Laser Printer Toners & Papers (Lot 149),Office Supplies,101371.43,402,VND-0497,Blackwell LLC,91483.8,3.92,0.567,0.25,0.0835,0.674,49.7
REQ-150,Adhesives & Resins Bulk (Lot 150),Chemical Materials,166508.6,911,VND-0153,Manning Group,135437.42,4.38,0.752,2.04,0.0039,0.95,57.3
