auction_id,domain,title,max_budget,weight_cost,weight_reliability,weight_delivery,weight_reviews,duration_minutes,created_at
AUC-0034,Software & Cloud Services,Procurement Request #0034 - Software & Cloud Services,399770.48,46,27,19,10,10,2026-05-07 00:00:00
AUC-0035,IT Hardware,Procurement Request #0035 - IT Hardware,464317.13,25,11,17,47,10,2026-01-07 00:00:00
AUC-0036,Construction & Infrastructure,Procurement Request #0036 - Construction & Infrastructure,124974.62,50,10,20,20,10,2026-02-04 00:00:00
AUC-0037,Logistics & Freight,Procurement Request #0037 - Logistics & Freight,205664.8,31,39,20,10,5,2026-01-07 00:00:00
AUC-0038,Software & Cloud Services,Procurement Request #0038 - Software & Cloud Services,84683.85,52,32,14,10,5,2026-05-16 00:00:00
AUC-0039,Manufacturing & Heavy Machinery,Procurement Request #0039 - Manufacturing & Heavy Machinery,496316.92,43,40,12,5,15,2026-06-20 00:00:00
AUC-0040,Raw Materials & Metals,Procurement Request #0040 - Raw Materials & Metals,464230.47,57,13,20,10,15,2026-03-25 00:00:00
AUC-0041,Software & Cloud Services,Procurement Request #0041 - Software & Cloud Services,274578.99,30,33,23,14,30,2026-06-17 00:00:00
AUC-0042,Logistics & Freight,Procurement Request #0042 - Logistics & Freight,422596.31,31,32,27,10,15,2026-02-28 00:00:00
AUC-0043,Healthcare & Medical Supplies,Procurement Request #0043 - Healthcare & Medical Supplies,265269.41,52,36,15,10,30,2026-03-21 00:00:00
AUC-0044,Healthcare & Medical Supplies,Procurement Request #0044 - Healthcare & Medical Supplies,315556.99,38,14,15,33,5,2026-06-30 00:00:00
AUC-0045,Construction & Infrastructure,Procurement Request #0045 - Construction & Infrastructure,53670.97,40,37,28,10,5,2026-02-17 00:00:00
AUC-0046,Construction & Infrastructure,Procurement Request #0046 - Construction & Infrastructure,380082.51,35,39,29,10,10,2026-06-14 00:00:00
AUC-0047,Construction & Infrastructure,Procurement Request #0047 - Construction & Infrastructure,72579.61,26,39,25,10,10,2026-03-27 00:00:00
AUC-0048,Healthcare & Medical Supplies,Procurement Request #0048 - Healthcare & Medical Supplies,414773.14,24,17,21,38,15,2026-02-13 00:00:00
AUC-0049,Healthcare & Medical Supplies,Procurement Request #0049 - Healthcare & Medical Supplies,393193.76,25,36,30,9,15,2026-04-26 00:00:00
AUC-0050,IT Hardware,Procurement Request #0050 - IT Hardware,357284.9,36,16,17,31,5,2026-04-01 00:00:00
AUC-0051,Logistics & Freight,Procurement Request #0051 - Logistics & Freight,27718.59,26,33,10,31,5,2026-04-10 00:00:00
AUC-0052,Raw Materials & Metals,Procurement Request #0052 - Raw Materials & Metals,158532.89,46,15,23,16,30,2026-04-08 00:00:00
AUC-0053,Logistics & Freight,Procurement Request #0053 - Logistics & Freight,138925.16,54,22,13,11,30,2026-05-29 00:00:00
AUC-0054,Healthcare & Medical Supplies,Procurement Request #0054 - Healthcare & Medical Supplies,186466.84,34,15,24,27,5,2026-01-10 00:00:00
AUC-0055,Logistics & Freight,Procurement Request #0055 - Logistics & Freight,52944.95,21,20,18,41,5,2026-01-20 00:00:00
AUC-0056,Logistics & Freight,Procurement Request #0056 - Logistics & Freight,469109.33,30,38,22,10,10,2026-01-21 00:00:00
AUC-0057,Construction & Infrastructure,Procurement Request #0057 - Construction & Infrastructure,281363.1,25,20,29,26,30,2026-01-09 00:00:00
AUC-0058,Raw Materials & Metals,Procurement Request #0058 - Raw Materials & Metals,159706.91,30,29,23,18,10,2026-01-15 00:00:00
AUC-0059,IT Hardware,Procurement Request #0059 - IT Hardware,204520.94,41,16,16,27,30,2026-06-29 00:00:00
AUC-0060,Construction & Infrastructure,Procurement Request #0060 - Construction & Infrastructure,229129.24,54,18,19,9,15,2026-03-03 00:00:00
AUC-0061,IT Hardware,Procurement Request #0061 - IT Hardware,304291.22,23,22,28,27,30,2026-02-10 00:00:00
AUC-0062,IT Hardware,Procurement Request #0062 - IT Hardware,262682.92,43,10,23,24,5,2026-03-18 00:00:00
AUC-0063,Manufacturing & Heavy Machinery,Procurement Request #0063 - Manufacturing & Heavy Machinery,460502.07,55,29,25,10,10,2026-01-26 00:00:00
AUC-0064,IT Hardware,Procurement Request #0064 - IT Hardware,253512.11,33,15,30,22,15,2026-01-22 00:00:00
AUC-0065,Raw Materials & Metals,Procurement Request #0065 - Raw Materials & Metals,496157.43,27,19,22,32,30,2026-05-07 00:00:00
AUC-0066,Healthcare & Medical Supplies,Procurement Request #0066 - Healthcare & Medical Supplies,427198.23,36,12,30,22,30,2026-02-18 00:00:00
AUC-0067,Logistics & Freight,Procurement Request #0067 - Logistics & Freight,112170.15,44,21,15,20,30,2026-01-13 00:00:00
AUC-0068,Logistics & Freight,Procurement Request #0068 - Logistics & Freight,465991.66,48,24,18,10,10,2026-03-11 00:00:00
AUC-0069,Construction & Infrastructure,Procurement Request #0069 - Construction & Infrastructure,67019.53,23,14,13,50,5,2026-06-22 00:00:00
AUC-0070,Logistics & Freight,Procurement Request #0070 - Logistics & Freight,410550.36,49,23,28,10,10,2026-05-23 00:00:00
AUC-0071,IT Hardware,Procurement Request #0071 - IT Hardware,196505.41,39,36,26,10,30,2026-05-19 00:00:00
AUC-0072,Healthcare & Medical Supplies,Procurement Request #0072 - Healthcare & Medical Supplies,440207.42,50,28,17,5,30,2026-03-19 00:00:00
AUC-0073,IT Hardware,Procurement Request #0073 - IT Hardware,435347.78,45,38,11,6,10,2026-02-01 00:00:00
AUC-0074,Manufacturing & Heavy Machinery,Procurement Request #0074 - Manufacturing & Heavy Machinery,404903.45,48,15,15,22,10,2026-02-20 00:00:00
AUC-0075,Software & Cloud Services,Procurement Request #0075 - Software & Cloud Services,397114.91,22,23,12,43,30,2026-02-22 00:00:00
AUC-0076,Manufacturing & Heavy Machinery,Procurement Request #0076 - Manufacturing & Heavy Machinery,159292.78,55,14,29,10,15,2026-03-24 00:00:00
AUC-0077,Healthcare & Medical Supplies,Procurement Request #0077 - Healthcare & Medical Supplies,49650.45,24,12,22,42,30,2026-05-23 00:00:00
AUC-0078,Logistics & Freight,Procurement Request #0078 - Logistics & Freight,207460.29,37,26,24,13,5,2026-06-30 00:00:00
AUC-0079,Construction & Infrastructure,Procurement Request #0079 - Construction & Infrastructure,95027.01,52,26,23,10,5,2026-04-18 00:00:00
AUC-0080,Software & Cloud Services,Procurement Request #0080 - Software & Cloud Services,350526.03,29,28,28,15,5,2026-01-29 00:00:00
AUC-0081,Construction & Infrastructure,Procurement Request #0081 - Construction & Infrastructure,179588.87,26,35,19,20,15,2026-04-17 00:00:00
AUC-0082,Logistics & Freight,Procurement Request #0082 - Logistics & Freight,488049.0,39,30,25,10,30,2026-01-11 00:00:00
AUC-0083,Software & Cloud Services,Procurement Request #0083 - Software & Cloud Services,324076.32,37,22,14,27,30,2026-01-11 00:00:00
AUC-0084,Raw Materials & Metals,Procurement Request #0084 - Raw Materials & Metals,413015.48,41,32,17,10,5,2026-05-03 00:00:00
AUC-0085,Logistics & Freight,Procurement Request #0085 - Logistics & Freight,74937.09,43,10,20,27,15,2026-03-22 00:00:00
AUC-0086,Logistics & Freight,Procurement Request #0086 - Logistics & Freight,432387.1,46,37,13,10,10,2026-02-05 00:00:00
AUC-0087,Logistics & Freight,Procurement Request #0087 - Logistics & Freight,462151.02,43,34,20,10,15,2026-04-18 00:00:00
AUC-0088,Construction & Infrastructure,Procurement Request #0088 - Construction & Infrastructure,248660.34,25,16,24,35,10,2026-04-16 00:00:00
AUC-0089,Healthcare & Medical Supplies,Procurement Request #0089 - Healthcare & Medical Supplies,307063.94,46,34,26,10,15,2026-01-16 00:00:00
AUC-0090,Construction & Infrastructure,Procurement Request #0090 - Construction & Infrastructure,384756.8,30,12,19,39,30,2026-02-05 00:00:00
AUC-0091,Manufacturing & Heavy Machinery,Procurement Request #0091 - Manufacturing & Heavy Machinery,95670.93,48,38,28,10,5,2026-02-15 00:00:00
AUC-0092,Software & Cloud Services,Procurement Request #0092 - Software & Cloud Services,256257.38,32,36,11,21,10,2026-01-10 00:00:00
AUC-0093,Raw Materials & Metals,Procurement Request #0093 - Raw Materials & Metals,205344.88,23,39,21,17,10,2026-03-13 00:00:00
AUC-0094,Logistics & Freight,Procurement Request #0094 - Logistics & Freight,81723.26,44,26,22,10,5,2026-06-25 00:00:00
AUC-0095,IT Hardware,Procurement Request #0095 - IT Hardware,190091.87,35,21,25,19,30,2026-02-16 00:00:00
AUC-0096,Manufacturing & Heavy Machinery,Procurement Request #0096 - Manufacturing & Heavy Machinery,43404.43,45,28,27,10,15,2026-03-31 00:00:00
AUC-0097,Software & Cloud Services,Procurement Request #0097 - Software & Cloud Services,22647.83,36,33,12,19,15,2026-01-09 00:00:00
AUC-0098,Raw Materials & Metals,Procurement Request #0098 - Raw Materials & Metals,76231.48,23,15,28,34,10,2026-02-27 00:00:00
AUC-0099,Healthcare & Medical Supplies,Procurement Request #0099 - Healthcare & Medical Supplies,481926.4,34,31,16,19,15,2026-06-17 00:00:00
AUC-0100,Raw Materials & Metals,Procurement Request #0100 - Raw Materials & Metals,279269.47,52,10,10,28,30,2026-02-04 00:00:00
AUC-0101,Healthcare & Medical Supplies,Procurement Request #0101 - Healthcare & Medical Supplies,483252.86,31,29,10,30,10,2026-03-07 00:00:00
AUC-0102,Construction & Infrastructure,Procurement Request #0102 - Construction & Infrastructure,221923.96,34,32,30,10,15,2026-04-20 00:00:00
AUC-0103,Raw Materials & Metals,Procurement Request #0103 - Raw Materials & Metals,162789.91,42,24,18,16,10,2026-05-01 00:00:00
AUC-0104,Logistics & Freight,Procurement Request #0104 - Logistics & Freight,258009.51,48,36,29,10,30,2026-05-31 00:00:00
AUC-0105,IT Hardware,Procurement Request #0105 - IT Hardware,225360.73,20,26,21,33,15,2026-03-19 00:00:00
AUC-0106,Healthcare & Medical Supplies,Procurement Request #0106 - Healthcare & Medical Supplies,61775.7,26,25,12,37,15,2026-03-13 00:00:00
AUC-0107,Healthcare & Medical Supplies,Procurement Request #0107 - Healthcare & Medical Supplies,324004.89,40,37,18,5,15,2026-06-18 00:00:00
AUC-0108,Healthcare & Medical Supplies,Procurement Request #0108 - Healthcare & Medical Supplies,115858.71,39,16,14,31,10,2026-01-16 00:00:00
AUC-0109,Manufacturing & Heavy Machinery,Procurement Request #0109 - Manufacturing & Heavy Machinery,313598.1,53,22,20,10,10,2026-01-08 00:00:00
AUC-0110,Healthcare & Medical Supplies,Procurement Request #0110 - Healthcare & Medical Supplies,328598.54,51,19,18,12,30,2026-04-15 00:00:00
AUC-0111,Raw Materials & Metals,Procurement Request #0111 - Raw Materials & Metals,84492.18,22,28,28,22,10,2026-03-30 00:00:00
AUC-0112,Healthcare & Medical Supplies,Procurement Request #0112 - Healthcare & Medical Supplies,40061.32,34,31,27,8,30,2026-06-22 00:00:00
AUC-0113,Logistics & Freight,Procurement Request #0113 - Logistics & Freight,392573.18,52,19,15,14,10,2026-03-18 00:00:00
AUC-0114,IT Hardware,Procurement Request #0114 - IT Hardware,235302.21,50,14,18,18,10,2026-06-25 00:00:00
AUC-0115,Logistics & Freight,Procurement Request #0115 - Logistics & Freight,38500.26,25,17,21,37,10,2026-03-21 00:00:00
AUC-0116,Raw Materials & Metals,Procurement Request #0116 - Raw Materials & Metals,497484.5,41,21,18,20,15,2026-04-30 00:00:00
AUC-0117,Manufacturing & Heavy Machinery,Procurement Request #0117 - Manufacturing & Heavy Machinery,38312.47,27,25,11,37,5,2026-05-02 00:00:00
AUC-0118,Software & Cloud Services,Procurement Request #0118 - Software & Cloud Services,350567.26,52,13,22,13,15,2026-04-17 00:00:00
AUC-0119,IT Hardware,Procurement Request #0119 - IT Hardware,492002.67,29,14,16,41,15,2026-04-16 00:00:00
AUC-0120,Construction & Infrastructure,Procurement Request #0120 - Construction & Infrastructure,127198.25,49,14,20,17,10,2026-01-22 00:00:00
AUC-0121,Raw Materials & Metals,Procurement Request #0121 - Raw Materials & Metals,79702.19,41,30,15,14,15,2026-06-13 00:00:00
AUC-0122,IT Hardware,Procurement Request #0122 - IT Hardware,69478.62,20,24,18,38,10,2026-02-14 00:00:00
AUC-0123,Construction & Infrastructure,Procurement Request #0123 - Construction & Infrastructure,158604.82,30,25,12,33,10,2026-06-08 00:00:00
AUC-0124,Raw Materials & Metals,Procurement Request #0124 - Raw Materials & Metals,59512.45,55,23,22,10,30,2026-05-04 00:00:00
AUC-0125,Raw Materials & Metals,Procurement Request #0125 - Raw Materials & Metals,349159.06,20,11,27,42,10,2026-04-07 00:00:00
AUC-0126,IT Hardware,Procurement Request #0126 - IT Hardware,40522.98,35,34,26,10,10,2026-01-06 00:00:00
AUC-0127,Healthcare & Medical Supplies,Procurement Request #0127 - Healthcare & Medical Supplies,259616.84,20,30,17,33,10,2026-06-28 00:00:00
AUC-0128,Logistics & Freight,Procurement Request #0128 - Logistics & Freight,498381.46,39,14,13,34,30,2026-05-10 00:00:00
AUC-0129,Construction & Infrastructure,Procurement Request #0129 - Construction & Infrastructure,408845.43,39,15,12,34,5,2026-03-19 00:00:00
AUC-0130,Logistics & Freight,Procurement Request #0130 - Logistics & Freight,311457.52,44,33,26,10,15,2026-04-23 00:00:00
AUC-0131,Healthcare & Medical Supplies,Procurement Request #0131 - Healthcare & Medical Supplies,160064.27,28,20,25,27,15,2026-02-19 00:00:00
AUC-0132,Software & Cloud Services,Procurement Request #0132 - Software & Cloud Services,315708.96,45,10,17,28,10,2026-02-04 00:00:00
AUC-0133,Software & Cloud Services,Procurement Request #0133 - Software & Cloud Services,268250.32,21,28,26,25,10,2026-02-02 00:00:00
AUC-0134,Logistics & Freight,Procurement Request #0134 - Logistics & Freight,218780.86,22,22,30,26,15,2026-05-18 00:00:00
AUC-0135,Construction & Infrastructure,Procurement Request #0135 - Construction & Infrastructure,74048.08,23,29,11,37,5,2026-06-18 00:00:00
AUC-0136,Manufacturing & Heavy Machinery,Procurement Request #0136 - Manufacturing & Heavy Machinery,444436.07,21,11,13,55,30,2026-04-25 00:00:00
AUC-0137,Raw Materials & Metals,Procurement Request #0137 - Raw Materials & Metals,230394.48,27,27,18,28,30,2026-06-30 00:00:00
AUC-0138,Software & Cloud Services,Procurement Request #0138 - Software & Cloud Services,105365.03,33,32,30,5,5,2026-03-20 00:00:00
AUC-0139,Raw Materials & Metals,Procurement Request #0139 - Raw Materials & Metals,190202.08,26,31,26,17,15,2026-06-10 00:00:00
AUC-0140,Construction & Infrastructure,Procurement Request #0140 - Construction & Infrastructure,212923.58,28,23,13,36,5,2026-03-15 00:00:00
AUC-0141,IT Hardware,Procurement Request #0141 - IT Hardware,415493.57,26,25,16,33,10,2026-03-10 00:00:00
AUC-0142,Manufacturing & Heavy Machinery,Procurement Request #0142 - Manufacturing & Heavy Machinery,369471.05,53,16,21,10,30,2026-03-18 00:00:00
AUC-0143,Software & Cloud Services,Procurement Request #0143 - Software & Cloud Services,386959.4,22,27,25,26,10,2026-06-27 00:00:00
AUC-0144,Raw Materials & Metals,Procurement Request #0144 - Raw Materials & Metals,15405.32,41,17,10,32,5,2026-06-22 00:00:00
AUC-0145,IT Hardware,Procurement Request #0145 - IT Hardware,213915.46,27,36,28,9,30,2026-02-09 00:00:00
AUC-0146,IT Hardware,Procurement Request #0146 - IT Hardware,245858.63,52,12,13,23,15,2026-06-15 00:00:00
AUC-0147,Software & Cloud Services,Procurement Request #0147 - Software & Cloud Services,19404.22,49,19,18,14,30,2026-01-14 00:00:00
AUC-0148,IT Hardware,Procurement Request #0148 - IT Hardware,137308.47,31,37,11,21,15,2026-04-04 00:00:00
AUC-0149,Manufacturing & Heavy Machinery,Procurement Request #0149 - Manufacturing & Heavy Machinery,382542.01,40,23,13,24,5,2026-01-13 00:00:00
AUC-0150,IT Hardware,Procurement Request #0150 - IT Hardware,77183.76,28,31,30,11,10,2026-03-27 00:00:00
AUC-0151,Logistics & Freight,Procurement Request #0151 - Logistics & Freight,272301.96,43,40,29,10,15,2026-01-25 00:00:00
AUC-0152,Logistics & Freight,Procurement Request #0152 - Logistics & Freight,115448.92,41,15,13,31,30,2026-04-14 00:00:00
AUC-0153,Raw Materials & Metals,Procurement Request #0153 - Raw Materials & Metals,15939.18,37,36,22,5,30,2026-04-19 00:00:00
AUC-0154,Healthcare & Medical Supplies,Procurement Request #0154 - Healthcare & Medical Supplies,128188.71,30,13,14,43,5,2026-02-11 00:00:00
AUC-0155,IT Hardware,Procurement Request #0155 - IT Hardware,488178.14,41,39,28,10,30,2026-05-27 00:00:00
AUC-0156,Healthcare & Medical Supplies,Procurement Request #0156 - Healthcare & Medical Supplies,402753.18,48,15,29,8,30,2026-04-03 00:00:00
AUC-0157,Construction & Infrastructure,Procurement Request #0157 - Construction & Infrastructure,480192.56,21,37,14,28,30,2026-05-06 00:00:00
AUC-0158,IT Hardware,Procurement Request #0158 - IT Hardware,249048.48,46,24,11,19,5,2026-03-09 00:00:00
AUC-0159,Healthcare & Medical Supplies,Procurement Request #0159 - Healthcare & Medical Supplies,63770.74,40,10,26,24,10,2026-06-22 00:00:00
AUC-0160,Manufacturing & Heavy Machinery,Procurement Request #0160 - Manufacturing & Heavy Machinery,278500.15,41,26,26,7,5,2026-04-22 00:00:00
AUC-0161,Healthcare & Medical Supplies,Procurement Request #0161 - Healthcare & Medical Supplies,232644.89,35,25,21,19,30,2026-02-09 00:00:00
AUC-0162,Manufacturing & Heavy Machinery,Procurement Request #0162 - Manufacturing & Heavy Machinery,423734.97,50,38,29,10,5,2026-01-04 00:00:00
AUC-0163,Healthcare & Medical Supplies,Procurement Request #0163 - Healthcare & Medical Supplies,58060.46,30,26,25,19,30,2026-02-13 00:00:00
AUC-0164,IT Hardware,Procurement Request #0164 - IT Hardware,249238.16,51,20,17,12,15,2026-03-14 00:00:00
AUC-0165,IT Hardware,Procurement Request #0165 - IT Hardware,83523.85,47,17,27,10,30,2026-04-15 00:00:00
AUC-0166,Manufacturing & Heavy Machinery,Procurement Request #0166 - Manufacturing & Heavy Machinery,169091.2,35,12,24,29,30,2026-05-28 00:00:00
AUC-0167,Raw Materials & Metals,Procurement Request #0167 - Raw Materials & Metals,371304.97,25,37,25,13,30,2026-03-23 00:00:00
AUC-0168,IT Hardware,Procurement Request #0168 - IT Hardware,243248.88,46,33,30,10,5,2026-01-28 00:00:00
AUC-0169,Raw Materials & Metals,Procurement Request #0169 - Raw Materials & Metals,194185.26,46,11,27,16,5,2026-01-25 00:00:00
AUC-0170,Manufacturing & Heavy Machinery,Procurement Request #0170 - Manufacturing & Heavy Machinery,203293.38,53,40,29,10,15,2026-05-12 00:00:00
AUC-0171,Construction & Infrastructure,Procurement Request #0171 - Construction & Infrastructure,235128.92,33,30,24,13,15,2026-04-05 00:00:00
AUC-0172,Manufacturing & Heavy Machinery,Procurement Request #0172 - Manufacturing & Heavy Machinery,394658.11,23,36,17,24,30,2026-03-27 00:00:00
AUC-0173,Construction & Infrastructure,Procurement Request #0173 - Construction & Infrastructure,447121.5,54,29,25,10,15,2026-04-27 00:00:00
AUC-0174,IT Hardware,Procurement Request #0174 - IT Hardware,478114.0,26,34,17,23,5,2026-03-30 00:00:00
AUC-0175,Logistics & Freight,Procurement Request #0175 - Logistics & Freight,395582.66,55,40,19,10,15,2026-06-30 00:00:00
AUC-0176,IT Hardware,Procurement Request #0176 - IT Hardware,164549.38,22,38,15,25,30,2026-02-06 00:00:00
AUC-0177,Manufacturing & Heavy Machinery,Procurement Request #0177 - Manufacturing & Heavy Machinery,347186.01,46,13,18,23,10,2026-02-19 00:00:00
AUC-0178,IT Hardware,Procurement Request #0178 - IT Hardware,224425.53,45,16,24,15,10,2026-03-29 00:00:00
AUC-0179,IT Hardware,Procurement Request #0179 - IT Hardware,134788.6,46,11,30,13,5,2026-04-27 00:00:00
AUC-0180,Raw Materials & Metals,Procurement Request #0180 - Raw Materials & Metals,422027.07,52,40,26,10,10,2026-05-09 00:00:00
AUC-0181,IT Hardware,Procurement Request #0181 - IT Hardware,28828.91,48,33,11,10,30,2026-05-31 00:00:00
AUC-0182,Raw Materials & Metals,Procurement Request #0182 - Raw Materials & Metals,451863.38,47,34,15,10,10,2026-02-03 00:00:00
AUC-0183,IT Hardware,Procurement Request #0183 - IT Hardware,236123.96,39,31,29,10,15,2026-05-11 00:00:00
AUC-0184,Raw Materials & Metals,Procurement Request #0184 - Raw Materials & Metals,322228.72,46,29,17,8,15,2026-04-13 00:00:00
AUC-0185,Logistics & Freight,Procurement Request #0185 - Logistics & Freight,333083.42,38,24,14,24,10,2026-04-17 00:00:00
AUC-0186,Construction & Infrastructure,Procurement Request #0186 - Construction & Infrastructure,448607.69,47,19,27,10,15,2026-05-23 00:00:00
AUC-0187,Healthcare & Medical Supplies,Procurement Request #0187 - Healthcare & Medical Supplies,321968.14,33,16,16,35,15,2026-06-26 00:00:00
AUC-0188,Logistics & Freight,Procurement Request #0188 - Logistics & Freight,310827.46,28,32,30,10,10,2026-05-10 00:00:00
AUC-0189,Construction & Infrastructure,Procurement Request #0189 - Construction & Infrastructure,42659.5,60,20,13,7,15,2026-05-25 00:00:00
AUC-0190,Raw Materials & Metals,Procurement Request #0190 - Raw Materials & Metals,264019.93,52,28,23,10,15,2026-04-20 00:00:00
AUC-0191,Manufacturing & Heavy Machinery,Procurement Request #0191 - Manufacturing & Heavy Machinery,83582.81,20,26,13,41,5,2026-04-09 00:00:00
AUC-0192,Software & Cloud Services,Procurement Request #0192 - Software & Cloud Services,371342.55,23,31,11,35,10,2026-03-11 00:00:00
AUC-0193,Manufacturing & Heavy Machinery,Procurement Request #0193 - Manufacturing & Heavy Machinery,260988.74,30,19,18,33,10,2026-01-17 00:00:00
AUC-0194,Healthcare & Medical Supplies,Procurement Request #0194 - Healthcare & Medical Supplies,343311.61,38,16,27,19,5,2026-04-03 00:00:00
AUC-0195,Manufacturing & Heavy Machinery,Procurement Request #0195 - Manufacturing & Heavy Machinery,30419.72,48,13,29,10,10,2026-06-16 00:00:00
AUC-0196,Construction & Infrastructure,Procurement Request #0196 - Construction & Infrastructure,51548.09,44,17,26,13,15,2026-06-28 00:00:00
AUC-0197,Healthcare & Medical Supplies,Procurement Request #0197 - Healthcare & Medical Supplies,360998.46,23,39,22,16,30,2026-04-18 00:00:00
AUC-0198,Manufacturing & Heavy Machinery,Procurement Request #0198 - Manufacturing & Heavy Machinery,45321.32,35,40,27,10,5,2026-01-05 00:00:00
AUC-0199,Healthcare & Medical Supplies,Procurement Request #0199 - Healthcare & Medical Supplies,44915.8,36,16,29,19,30,2026-02-28 00:00:00
AUC-0200,Healthcare & Medical Supplies,Procurement Request #0200 - Healthcare & Medical Supplies,15933.15,38,34,28,10,10,2026-02-20 00:00:00
AUC-0201,Logistics & Freight,Procurement Request #0201 - Logistics & Freight,478685.69,48,15,12,25,10,2026-02-15 00:00:00
AUC-0202,Healthcare & Medical Supplies,Procurement Request #0202 - Healthcare & Medical Supplies,371379.1,52,13,22,13,5,2026-04-21 00:00:00
AUC-0203,Logistics & Freight,Procurement Request #0203 - Logistics & Freight,183093.19,55,18,14,13,10,2026-05-31 00:00:00
